codec,electron_threshold_e,bader_threshold_e,n_with_electron_count_preserved,n_bader_failed_despite_electron_preservation,fraction_bader_failed
ALL,1e-06,0.0001,1108,652,0.588448
ALL,1e-06,0.001,1108,108,0.0974729
ALL,1e-06,0.01,1108,10,0.00902527
ALL,1e-05,0.0001,1993,1486,0.74561
ALL,1e-05,0.001,1993,482,0.241846
ALL,1e-05,0.01,1993,73,0.0366282
ALL,0.0001,0.0001,3205,2691,0.839626
ALL,0.0001,0.001,3205,1383,0.431513
ALL,0.0001,0.01,3205,306,0.0954758
ALL,0.001,0.0001,4380,3866,0.882648
ALL,0.001,0.001,4380,2477,0.565525
ALL,0.001,0.01,4380,801,0.182877
SPERR,1e-06,0.0001,379,287,0.757256
SPERR,1e-06,0.001,379,61,0.16095
SPERR,1e-06,0.01,379,2,0.00527704
SPERR,1e-05,0.0001,744,646,0.86828
SPERR,1e-05,0.001,744,255,0.342742
SPERR,1e-05,0.01,744,44,0.0591398
SPERR,0.0001,0.0001,1230,1131,0.919512
SPERR,0.0001,0.001,1230,697,0.566667
SPERR,0.0001,0.01,1230,203,0.165041
SPERR,0.001,0.0001,1589,1490,0.937697
SPERR,0.001,0.001,1589,1056,0.664569
SPERR,0.001,0.01,1589,455,0.286344
SZ3,1e-06,0.0001,151,99,0.655629
SZ3,1e-06,0.001,151,3,0.0198675
SZ3,1e-06,0.01,151,0,0
SZ3,1e-05,0.0001,261,191,0.731801
SZ3,1e-05,0.001,261,17,0.0651341
SZ3,1e-05,0.01,261,0,0
SZ3,0.0001,0.0001,466,393,0.843348
SZ3,0.0001,0.001,466,79,0.169528
SZ3,0.0001,0.01,466,7,0.0150215
SZ3,0.001,0.0001,799,726,0.908636
SZ3,0.001,0.001,799,340,0.425532
SZ3,0.001,0.01,799,56,0.0700876
ZFP,1e-06,0.0001,578,266,0.460208
ZFP,1e-06,0.001,578,44,0.0761246
ZFP,1e-06,0.01,578,8,0.0138408
ZFP,1e-05,0.0001,988,649,0.656883
ZFP,1e-05,0.001,988,210,0.212551
ZFP,1e-05,0.01,988,29,0.0293522
ZFP,0.0001,0.0001,1509,1167,0.77336
ZFP,0.0001,0.001,1509,607,0.402253
ZFP,0.0001,0.01,1509,96,0.0636183
ZFP,0.001,0.0001,1992,1650,0.828313
ZFP,0.001,0.001,1992,1081,0.542671
ZFP,0.001,0.01,1992,290,0.145582
