codec,ladder,n,electron_dev_median_e,electron_dev_p95_e,electron_dev_p99_e,electron_dev_max_e,bader_error_median_e
ALL,ALL,6343,9.37539e-05,0.0642956,0.274914,3.97545,0.00399959
SPERR,ALL,1956,3.27454e-05,0.00829343,0.0295995,0.145899,0.00563126
SPERR,base,1384,0.000123054,0.0118577,0.0357257,0.145899,0.0135934
SPERR,tight,572,4.95079e-07,7.15865e-06,1.38509e-05,3.15162e-05,0.000397016
SZ3,ALL,1937,0.00243131,0.20845,0.545667,3.97545,0.00570653
SZ3,base,1365,0.0102419,0.265859,0.663031,3.97545,0.0137752
SZ3,tight,572,1.46898e-05,0.000757671,0.00133753,0.00242896,0.00045402
ZFP,ALL,2450,2.68322e-05,0.00986488,0.0250491,0.0952336,0.00245316
ZFP,base,1878,0.000100395,0.0127779,0.0341828,0.0952336,0.00521266
ZFP,tight,572,1.4234e-07,4.27577e-06,1.48498e-05,2.88923e-05,7.69497e-05
