codec,ladder,nominal_tolerance_relative,n,realized_Linf_median,electron_dev_median_e,electron_dev_p95_e,electron_dev_max_e,bader_error_median_e
SPERR,base,1e-05,254,0.0453241,1.01076e-05,4.46367e-05,9.55032e-05,0.00289348
SPERR,base,3e-05,242,0.134386,3.32089e-05,0.000130104,0.000297616,0.00431022
SPERR,base,0.0001,237,0.435548,9.37539e-05,0.00045514,0.00113703,0.00911483
SPERR,base,0.0003,218,1.19291,0.000366602,0.00176519,0.00798594,0.0194653
SPERR,base,0.001,181,3.6744,0.001263,0.00638989,0.0210073,0.0255973
SPERR,base,0.003,141,8.36429,0.00288991,0.0184035,0.0391803,0.0405072
SPERR,base,0.01,90,22.932,0.00916122,0.0350742,0.0524131,0.0770012
SPERR,base,0.03,18,33.0767,0.0219108,0.0987816,0.107962,0.0851587
SPERR,base,0.1,3,56.4938,0.064531,0.137762,0.145899,0.184301
SPERR,tight,1e-07,143,0.00049806,1.04027e-07,4.89307e-07,9.21336e-07,0.000147774
SPERR,tight,3e-07,143,0.00149418,3.232e-07,1.53123e-06,3.47659e-06,0.000273222
SPERR,tight,1e-06,143,0.00498056,1.12194e-06,5.47482e-06,1.08823e-05,0.000489498
SPERR,tight,3e-06,143,0.0149417,2.90747e-06,1.25564e-05,3.15162e-05,0.000858349
SZ3,base,1e-05,254,0.0453244,0.000686062,0.00457247,0.0135926,0.00304178
SZ3,base,3e-05,239,0.133872,0.00251154,0.0148962,0.0224876,0.00465346
SZ3,base,0.0001,238,0.440897,0.00827731,0.0462108,0.0746627,0.00896954
SZ3,base,0.0003,230,1.32269,0.0208049,0.136804,0.236265,0.0181971
SZ3,base,0.001,210,4.1191,0.0616372,0.287002,0.653806,0.0348799
SZ3,base,0.003,142,11.2435,0.15655,0.552111,3.45573,0.0688672
SZ3,base,0.01,49,25.1374,0.281848,1.0819,3.97545,0.134768
SZ3,base,0.03,3,3.01463,0.0618349,0.220005,0.237579,0.159483
SZ3,tight,1e-07,143,0.000498061,4.30329e-07,2.7254e-05,4.53461e-05,0.000163153
SZ3,tight,3e-07,143,0.00149418,2.80585e-06,8.84829e-05,0.000205225,0.000303532
SZ3,tight,1e-06,143,0.00498061,3.8292e-05,0.000356823,0.000759011,0.000565043
SZ3,tight,3e-06,143,0.0149418,0.000169463,0.00131625,0.00242896,0.00108717
ZFP,base,1e-05,254,0.00807458,2.60493e-06,2.63247e-05,6.84061e-05,0.000739269
ZFP,base,3e-05,248,0.0301703,7.64396e-06,9.27723e-05,0.000228158,0.00130609
ZFP,base,0.0001,247,0.0649941,2.19062e-05,0.000303836,0.00107707,0.00181055
ZFP,base,0.0003,243,0.232677,7.12606e-05,0.000886453,0.00202429,0.00301251
ZFP,base,0.001,240,0.71012,0.000238176,0.00278962,0.00457086,0.00551708
ZFP,base,0.003,232,1.47072,0.000611649,0.00860687,0.0208343,0.0118381
ZFP,base,0.01,206,5.12653,0.00185467,0.0185184,0.0390141,0.0211733
ZFP,base,0.03,148,10.2294,0.00499536,0.0301605,0.0952336,0.0413152
ZFP,base,0.1,60,17.9017,0.015486,0.0520567,0.0751089,0.178776
ZFP,tight,1e-07,143,0.000120359,2.35408e-08,3.39582e-07,5.35419e-07,2.38112e-05
ZFP,tight,3e-07,143,0.00025891,8.38736e-08,7.92311e-07,2.08333e-06,4.83062e-05
ZFP,tight,1e-06,143,0.000991896,2.08591e-07,2.84696e-06,1.45583e-05,0.000100694
ZFP,tight,3e-06,143,0.00210982,7.83602e-07,1.31754e-05,2.88923e-05,0.000209138
