material_id,system_type,codec,nominal_tolerance_relative,stage,failure_class,detail
mp-1778,bulk,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 194611 vs frozen 194610
mp-1007755,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 37554 vs frozen 37553
mp-11419,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 25556 vs frozen 25557
mp-560030,bulk,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 541509 vs frozen 541508
mp-1246480,bulk,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 502764 vs frozen 502763
mp-1224859,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 43883 vs frozen 43884
mp-631399,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 40381 vs frozen 40382
mp-1222924,bulk,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 279527 vs frozen 279528
mp-1184653,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 64263 vs frozen 64262
mp-2242118,bulk,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 430726 vs frozen 430727
mp-752703,bulk,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 284335 vs frozen 284334
mp-752703,bulk,SZ3,3e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 190601 vs frozen 184086
mp-998744,bulk,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 597698 vs frozen 597697
mp-998744,bulk,SZ3,3e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 217696 vs frozen 217695
mp-849339,bulk,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 422506 vs frozen 422505
mp-849339,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 101102 vs frozen 101103
mp-1215324,bulk,SZ3,0.0001,gate,reproduction_mismatch,Linf ratio 1; bytes 156040 vs frozen 156041
mp-1206294,bulk,SZ3,0.0001,gate,reproduction_mismatch,Linf ratio 1; bytes 158558 vs frozen 158559
mp-1175263,bulk,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 880380 vs frozen 880379
mp-1175263,bulk,SZ3,0.01,gate,reproduction_mismatch,Linf ratio 1; bytes 14452 vs frozen 14453
mp-676693,bulk,SZ3,0.0001,gate,reproduction_mismatch,Linf ratio 1; bytes 152405 vs frozen 152406
mp-1205681,bulk,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 363746 vs frozen 363747
mp-1205681,bulk,SZ3,3e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 237233 vs frozen 237234
mp-1111338,bulk,SZ3,3e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 233573 vs frozen 233574
