material_id,formula,npoints,natoms,stability_floor_A1_e,ladder,pilot_role,is_pilot_row,nominal_tolerance_relative,nominal_tolerance_absolute,frozen_realized_Linf,reproduced_realized_Linf,Linf_reproduction_ratio,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,frozen_compressed_bytes,reproduced_compressed_bytes,compression_ratio_frozen,compression_ratio_reproduced,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,electron_count_abs_dev,V_orig_rms,V_orig_ptp,potential_rel_RMSE,potential_rel_Linf,potential_rel_Linf_over_Vptp
mp-1778,BeO,110592,2,0.0008690062420009,tight,tight,True,1e-07,2.0838951782433e-05,3.68881418211231e-06,3.68881418211231e-06,1.0,True,3.68881418211231e-06,1.770153422602541e-08,6.610311718114555e-07,187488,187488,4.71889400921659,4.71889400921659,0.0009198823429148,4.671769637809575e-09,0.0005787037037037,5.117549051192327e-09,18.540323935432195,105.74582889228282,7.820922470505896e-10,3.112752538431233e-09,5.457561872453733e-10
mp-1778,BeO,110592,2,0.0008690062420009,base,middle,True,0.0001,0.020838951782433,0.0033057895421872,0.0033057895421872985,1.0000000000000298,True,0.0033057895421872985,1.5863511642529166e-05,0.0005825319210462243,65936,65936,13.418102402329533,13.418102402329533,0.0003592539665793,2.2606343366149417e-06,0.0006962528935185,6.439358486431956e-07,18.540323935432195,105.74582889228282,8.017609035447615e-07,4.0631320692299545e-06,7.123854013447889e-07
mp-1778,BeO,110592,2,0.0008690062420009,base,loose,True,0.1,20.838951782433,2.423226817,2.4232268169999998,0.9999999999999998,True,2.4232268169999998,0.011628352722821464,0.2765418157945615,9464,9464,93.4843617920541,93.4843617920541,0.0504770167429771,0.0010967496350486,0.0349573206018518,0.0010135003964713007,18.540323935432195,105.74582889228282,0.0011543065365048687,0.004318217540495393,0.0007571093145054787
mp-2647013,Mo,165888,2,0.0030025199409777,base,tight,True,1e-05,0.00197640815371,0.0004727640771484,0.0004727640771484687,1.0000000000001452,True,0.0004727640771484687,2.3920366664194494e-06,7.973060038043464e-05,156336,156336,8.488793368130182,8.488793368130182,0.0023403881547334,9.390069823922432e-07,0.0003375771604938,1.7229043400845967e-06,47.56494421493183,267.3440374013137,7.768184968883272e-08,2.5983619620634744e-07,4.62291745786071e-08
mp-2647013,Mo,165888,2,0.0030025199409777,base,middle,True,0.001,0.197640815371,0.0222843382187498,0.022284338218749866,1.0000000000000029,True,0.022284338218749866,0.0001127517014991007,0.004147124272652511,65648,65648,20.2154521082135,20.2154521082135,0.0023942892535853,5.5107954713307095e-05,0.0009765625,0.00010874635540147892,47.56494421493183,267.3440374013137,4.055351472049766e-06,1.2862842690462652e-05,2.2885133364649833e-06
mp-2647013,Mo,165888,2,0.0030025199409777,base,loose,True,0.1,19.7640815371,1.956424451000004,1.9564244510000037,0.9999999999999999,True,1.9564244510000037,0.009898888786344642,0.2887281769605143,16440,16440,80.72408759124087,80.72408759124087,0.0088346798141181,0.006435172644057,0.0240885416666666,0.012827692687807257,47.56494421493183,267.3440374013137,0.0005853319126130761,0.002022753792422249,0.000359881492897037
mp-214,ZrRu,175616,2,3.139012960673426e-08,tight,tight,True,1e-07,2.737403698186e-05,4.065512619888523e-06,4.065512619888523e-06,1.0,True,4.065512619888523e-06,1.4851710117081461e-08,6.657440237700078e-07,314560,314560,4.466327568667345,4.466327568667345,5.911957146054192e-09,5.911957146054192e-09,0.0,9.224958574804987e-09,62.99032888359777,397.93004175534793,5.158491898874122e-10,1.5901204927033212e-09,2.517080951166578e-10
mp-214,ZrRu,175616,2,3.139012960673426e-08,base,middle,True,0.0001,0.02737403698186,0.0034446783417969,0.0034446783417969584,1.000000000000017,True,0.0034446783417969584,1.2583742558978966e-05,0.0005811305710560311,108736,108736,12.920541494997057,12.920541494997057,0.0011264405694966,9.568214371924457e-06,0.0002049927113702,1.2530805385324584e-05,62.99032888359777,397.93004175534793,6.697970535207537e-07,2.2979078323408783e-06,3.6374727945858055e-07
mp-214,ZrRu,175616,2,3.139012960673426e-08,base,loose,True,0.1,27.37403698186,2.369545113000001,2.369545113000001,1.0,True,2.369545113000001,0.008656177072348632,0.2835528451431302,17600,17600,79.82545454545455,79.82545454545455,0.0955299893174501,0.0105715190015356,0.0373656158892128,0.010841822413212299,62.99032888359777,397.93004175534793,0.0005061202392977513,0.0016818367606182547,0.0002662263201153367
mp-1094905,MgTi3,276480,4,0.0003569475820821,tight,tight,True,1e-07,0.0001364390164246,3.2923016533459304e-05,3.2923016533459304e-05,1.0,True,3.2923016533459304e-05,2.4130206590615144e-08,5.335481628419017e-06,433360,433360,5.103932065719032,5.103932065719032,3.857658493622296e-05,3.787375213448741e-08,3.616898148148148e-06,1.0909194969599412e-07,125.2000002263009,921.5603780044041,7.926067408457355e-09,1.960319632687842e-08,2.6632223380481204e-09
mp-1094905,MgTi3,276480,4,0.0003569475820821,base,middle,True,3e-05,0.04093170492738,0.0075068052382825,0.00750680523828251,1.0000000000000013,True,0.00750680523828251,5.50194910151011e-06,0.0011642154258110183,167720,167720,13.187693775339852,13.187693775339852,0.0010546285615031,8.797580985486775e-06,0.0021303530092592,2.8246016405830687e-05,125.2000002263009,921.5603780044041,1.9150146540993666e-06,5.313534236941621e-06,7.218783527869612e-07
mp-1094905,MgTi3,276480,4,0.0003569475820821,base,loose,True,0.003,4.093170492738,0.5929430660000001,0.5929430660000001,1.0,True,0.5929430660000001,0.00043458468225449065,0.09213590009759089,46360,46360,47.71009490940466,47.71009490940466,0.1090464841089033,0.0012055571779878,0.0494249131944444,0.003530103592964906,125.2000002263009,921.5603780044041,0.00022867649047494948,0.0005631461425874605,7.650708392223607e-05
mp-1007755,HfAu,301056,4,0.0017092764859629,base,tight,True,1e-05,0.003639916937734,0.0005105895117196,0.0005105895117196724,1.0000000000001419,True,0.0005105895117196724,1.4027504485790152e-06,8.068409229107524e-05,309320,309320,7.786266649424544,7.786266649424544,0.0059344776072141,2.449748546240471e-07,0.0014249840561224,5.834098431023449e-07,106.96215110283924,633.4382812486608,6.948470694806132e-08,2.2691740555115548e-07,3.831718817590527e-08
mp-1007755,HfAu,301056,4,0.0017092764859629,base,middle,True,0.001,0.3639916937734,0.0457162637499983,0.045716263749998376,1.0000000000000018,True,0.045716263749998376,0.00012559699721735587,0.008080377919242656,115824,115824,20.794032324906755,20.794032324906755,0.0076823768746834,2.2728323260778893e-05,0.00439453125,4.886492784095253e-05,106.96215110283924,633.4382812486608,4.8548036123713245e-06,1.6777689075720575e-05,2.833074298155979e-06
mp-1007755,HfAu,301056,4,0.0017092764859629,base,loose,True,0.1,36.39916937734,4.240902960000028,4.240902960000028,1.0,True,4.240902960000028,0.01165109817764184,0.5595488590750393,28712,28712,83.88297575926443,83.88297575926443,0.0044043441863728,0.0032455066279126,0.0524254623724489,0.00669655785064549,106.96215110283924,633.4382812486608,0.000592184839778152,0.0023091545802508707,0.00038992297820353614
mp-1219705,PrY,301056,2,3.822001167108624e-05,tight,tight,True,1e-07,3.899217585244e-05,7.234676708378629e-06,7.234676708378629e-06,1.0,True,7.234676708378629e-06,1.8554175421646564e-08,1.3101454365500169e-06,443520,443520,5.430303030303031,5.430303030303031,1.2693917028627766e-08,1.2693917028627766e-08,0.0,1.948849259747476e-08,89.89561464482634,625.3843086730338,1.3887732020181012e-09,4.695007600442976e-09,6.748819696156081e-10
mp-1219705,PrY,301056,2,3.822001167108624e-05,base,middle,True,0.0001,0.03899217585244,0.0063302626640631,0.006330262664063113,1.000000000000002,True,0.006330262664063113,1.6234699720320907e-05,0.001051324044859986,140496,140496,17.142466689443115,17.142466689443115,0.0006970577660023,1.212318938392798e-05,0.0010596035289115,2.1774170150479222e-05,89.89561464482634,625.3843086730338,1.1558077625366934e-06,4.1877206997288765e-06,6.019622191381378e-07
