caliper_dex,pair,metric,effect_type,n_usable_pairs,n_usable_materials,a_pair_median,b_pair_median,effect,ci_low,ci_high
0.05,zfp_vs_sz3,Bader_error_fixed_e,material-median ratio zfp/sz3,198,147,0.0003791302043074,0.0065801139180541,0.054575247490040835,0.04866278297709758,0.06337407497696261
0.05,zfp_vs_sz3,Bader_error_resolved_e,material-median ratio zfp/sz3,198,147,0.0155035256380817,0.027445477840390052,0.5832020469351656,0.548933984767441,0.6497245708625241
0.05,zfp_vs_sz3,compression_ratio,material-median ratio zfp/sz3,198,147,46.80713288042023,158.10835683878005,0.2983180995023457,0.26248532661234636,0.32512625142362894
0.05,zfp_vs_sz3,bits_per_value,material-median ratio zfp/sz3,198,147,1.3673135747354497,0.40478582175925926,3.3521264773012445,3.0757282613178853,3.809736768550336
0.05,zfp_vs_sz3,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sz3,47,30,0.0425531914893617,0.0,0.02222222222222222,0.0,0.05555555555555555
0.05,zfp_vs_sz3,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,198,147,0.010101010101010102,0.0,0.0045351473922902496,0.0,0.011337868480725622
0.05,zfp_vs_sz3,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sz3,118,88,0.03389830508474576,0.01694915254237288,0.009469696969696968,0.0,0.02462121212121212
0.05,zfp_vs_sz3,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,198,147,0.020202020202020204,0.010101010101010102,0.005668934240362811,0.0,0.014739229024943309
0.05,zfp_vs_sz3,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sz3,185,137,0.3945945945945946,0.2,0.20072992700729927,0.13257299270072995,0.2725060827250608
0.05,zfp_vs_sz3,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,198,147,0.3787878787878788,0.18686868686868688,0.20068027210884354,0.13489229024943308,0.2653344671201812
0.05,zfp_vs_sperr,Bader_error_fixed_e,material-median ratio zfp/sperr,208,143,0.00042824299582885,0.00056558169986905,0.6992010534857073,0.6283503735080213,0.8172014931714409
0.05,zfp_vs_sperr,Bader_error_resolved_e,material-median ratio zfp/sperr,208,143,0.0161937954618238,0.026776440998918148,0.6019497057689979,0.508368214622625,0.7074451480543041
0.05,zfp_vs_sperr,compression_ratio,material-median ratio zfp/sperr,208,143,48.78659520751855,19.48587877533503,2.64931964867922,2.538985362896241,2.836716958142202
0.05,zfp_vs_sperr,bits_per_value,material-median ratio zfp/sperr,208,143,1.3118361689814815,3.2844313350340135,0.3774553970860162,0.35252018962614845,0.39385811931554104
0.05,zfp_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sperr,51,31,0.0392156862745098,0.0196078431372549,0.01075268817204301,0.0,0.03225806451612903
0.05,zfp_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,208,143,0.009615384615384616,0.004807692307692308,0.002331002331002331,0.0,0.006993006993006993
0.05,zfp_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sperr,128,88,0.03125,0.03125,0.0,0.0,0.0
0.05,zfp_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,208,143,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0
0.05,zfp_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sperr,197,135,0.37055837563451777,0.15228426395939088,0.2382716049382716,0.17157407407407407,0.31361111111111095
0.05,zfp_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,208,143,0.3605769230769231,0.14903846153846154,0.23543123543123542,0.16666666666666666,0.30536130536130535
0.05,sz3_vs_sperr,Bader_error_fixed_e,material-median ratio sz3/sperr,1848,254,0.00024414631133535,1.8487504053865678e-05,10.774690116694826,10.114998517284501,11.41847427280604
0.05,sz3_vs_sperr,Bader_error_resolved_e,material-median ratio sz3/sperr,1848,254,0.004860170924649351,0.0044919420803597,1.0325070260736608,0.9762380496022375,1.0716556526466035
0.05,sz3_vs_sperr,compression_ratio,material-median ratio sz3/sperr,1848,254,35.861785027145686,9.95661057623849,3.5819085179736745,3.3481346544661936,3.816413354001704
0.05,sz3_vs_sperr,bits_per_value,material-median ratio sz3/sperr,1848,254,1.784629539207176,6.427893763472467,0.2791807761091875,0.2620261243325357,0.2986737700845051
0.05,sz3_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference sz3-sperr,456,46,0.12938596491228072,0.16447368421052633,-0.03326196750109794,-0.059976257136583215,-0.007717803030303035
0.05,sz3_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.039502164502164504,0.05357142857142857,-0.010407931963050074,-0.01717249832407313,-0.004311318329526992
0.05,sz3_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference sz3-sperr,1329,143,0.3476297968397291,0.3935289691497366,-0.04838747111474384,-0.06566605112059658,-0.029937871471962384
0.05,sz3_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.2527056277056277,0.2884199134199134,-0.030077348286009702,-0.04094875214461829,-0.019768899626183094
0.05,sz3_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference sz3-sperr,1754,229,0.6510832383124288,0.6539338654503991,-0.014820853576312092,-0.03592243394645142,0.006570863028286595
0.05,sz3_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.6195887445887446,0.6228354978354979,-0.014215126518276125,-0.03416786680074082,0.004386994239356434
0.1,zfp_vs_sz3,Bader_error_fixed_e,material-median ratio zfp/sz3,457,214,0.0002682088963599,0.0040986429965172,0.05668039062099043,0.052032653059565684,0.06061019242301162
0.1,zfp_vs_sz3,Bader_error_resolved_e,material-median ratio zfp/sz3,457,214,0.0123511403343394,0.022093602741493,0.5574478963397762,0.5250540093860762,0.5983823929964643
0.1,zfp_vs_sz3,compression_ratio,material-median ratio zfp/sz3,457,214,43.46964765812933,133.38169099625688,0.32552409976228247,0.3121249105453485,0.3394333165268674
