caliper_dex,pair,n_pairs,n_materials,median_abs_log10_Linf_difference_dex,p95_abs_log10_Linf_difference_dex,median_larger_over_smaller_realized_Linf,p95_larger_over_smaller_realized_Linf
0.05,zfp_vs_sz3,198,147,0.023441680469784287,0.04661943718892626,1.0554606580293244,1.1133185330483162
0.05,zfp_vs_sperr,208,143,0.025571276645647567,0.04666815140378462,1.0606480134351812,1.1134434211753588
0.05,sz3_vs_sperr,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383
0.1,zfp_vs_sz3,457,214,0.05596151361607665,0.09641966120426074,1.1375264758376409,1.2485895259655577
0.1,zfp_vs_sperr,465,206,0.05525212066702334,0.09665102724697404,1.1356699139891673,1.249254873999007
0.1,sz3_vs_sperr,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383
0.2,zfp_vs_sz3,1089,244,0.1130122124314803,0.19035352503174768,1.2972157483889486,1.5500780197005004
0.2,zfp_vs_sperr,1091,245,0.11244930833383313,0.19032111218048636,1.2955354713623326,1.5499623388944046
0.2,sz3_vs_sperr,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383
0.3,zfp_vs_sz3,1621,248,0.1463610032521201,0.2707416800928356,1.4007512001921487,1.86526989162531
0.3,zfp_vs_sperr,1622,248,0.14520687659257192,0.2709433042024891,1.3970336888395272,1.866136067187585
0.3,sz3_vs_sperr,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383
