design,tau_e,scope,n_decisions,available,unavailable,numerical_pass,no_pass_observed,qualified_pass,eligible_no_pass,non_evaluable,non_evaluable_no_pass,non_evaluable_pass,non_evaluable_share,fraction_no_pass_non_evaluable,reclassification_cluster_ci_low,reclassification_cluster_ci_high,fraction_numerical_pass_non_evaluable,no_pass_risk_eligible,no_pass_risk_non_evaluable,risk_ratio_non_evaluable_vs_eligible
full_record,0.0001,all,762,762,0,229,533,123,15,624,518,106,0.8188976377952756,0.9718574108818011,0.9513480553724457,0.9874326750448833,0.462882096069869,0.10869565217391304,0.8301282051282052,7.637179487179488
full_record,0.0001,ZFP,254,254,0,119,135,46,0,208,135,73,0.8188976377952756,1.0,1.0,1.0,0.6134453781512605,0.0,0.6490384615384616,
full_record,0.0001,SZ3,254,254,0,49,205,38,8,208,197,11,0.8188976377952756,0.9609756097560975,0.9323671497584541,0.9852216748768473,0.22448979591836735,0.17391304347826086,0.9471153846153846,5.445913461538462
full_record,0.0001,SPERR,254,254,0,61,193,39,7,208,186,22,0.8188976377952756,0.9637305699481865,0.9353152985074626,0.988950276243094,0.36065573770491804,0.15217391304347827,0.8942307692307693,5.876373626373626
full_record,0.001,all,762,762,0,452,310,415,14,333,296,37,0.43700787401574803,0.9548387096774194,0.9217531636310439,0.980393526125534,0.08185840707964602,0.03263403263403263,0.8888888888888888,27.238095238095237
full_record,0.001,ZFP,254,254,0,168,86,142,1,111,85,26,0.43700787401574803,0.9883720930232558,0.9583333333333334,1.0,0.15476190476190477,0.006993006993006993,0.7657657657657657,109.5045045045045
full_record,0.001,SZ3,254,254,0,140,114,136,7,111,107,4,0.43700787401574803,0.9385964912280702,0.8898069679849341,0.9811320754716981,0.02857142857142857,0.04895104895104895,0.963963963963964,19.692406692406692
full_record,0.001,SPERR,254,254,0,144,110,137,6,111,104,7,0.43700787401574803,0.9454545454545454,0.8983050847457628,0.9826086956521739,0.04861111111111111,0.04195804195804196,0.9369369369369369,22.33033033033033
full_record,0.01,all,762,762,0,654,108,640,47,75,61,14,0.0984251968503937,0.5648148148148148,0.41935483870967744,0.7059044670499778,0.021406727828746176,0.06841339155749636,0.8133333333333334,11.888510638297873
full_record,0.01,ZFP,254,254,0,233,21,225,4,25,17,8,0.0984251968503937,0.8095238095238095,0.625,0.9583333333333334,0.034334763948497854,0.017467248908296942,0.68,38.93000000000001
full_record,0.01,SZ3,254,254,0,209,45,207,22,25,23,2,0.0984251968503937,0.5111111111111111,0.3695366132723112,0.6666666666666666,0.009569377990430622,0.09606986899563319,0.92,9.576363636363636
full_record,0.01,SPERR,254,254,0,212,42,208,21,25,21,4,0.0984251968503937,0.5,0.35183933933933936,0.6585365853658537,0.018867924528301886,0.09170305676855896,0.84,9.159999999999998
base_only,0.0001,all,762,762,0,22,740,14,124,624,616,8,0.8188976377952756,0.8324324324324325,0.7866775269890565,0.876884636003993,0.36363636363636365,0.8985507246376812,0.9871794871794872,1.09863523573201
base_only,0.0001,ZFP,254,254,0,18,236,11,35,208,201,7,0.8188976377952756,0.8516949152542372,0.806705483917705,0.8945147679324894,0.3888888888888889,0.7608695652173914,0.9663461538461539,1.270054945054945
base_only,0.0001,SZ3,254,254,0,1,253,1,45,208,208,0,0.8188976377952756,0.8221343873517787,0.7746812064746847,0.8661417322834646,0.0,0.9782608695652174,1.0,1.0222222222222221
base_only,0.0001,SPERR,254,254,0,3,251,2,44,208,207,1,0.8188976377952756,0.8247011952191236,0.7759775100401607,0.8690476190476191,0.3333333333333333,0.9565217391304348,0.9951923076923077,1.0404283216783217
base_only,0.001,all,762,762,0,238,524,201,228,333,296,37,0.43700787401574803,0.5648854961832062,0.49701638041930973,0.629493103689701,0.15546218487394958,0.5314685314685315,0.8888888888888888,1.672514619883041
base_only,0.001,ZFP,254,254,0,145,109,119,24,111,85,26,0.43700787401574803,0.7798165137614679,0.6964198179271709,0.8571428571428571,0.1793103448275862,0.16783216783216784,0.7657657657657657,4.562687687687688
base_only,0.001,SZ3,254,254,0,40,214,36,107,111,107,4,0.43700787401574803,0.5,0.43180471779405427,0.5665104083902749,0.1,0.7482517482517482,0.963963963963964,1.2882882882882885
base_only,0.001,SPERR,254,254,0,53,201,46,97,111,104,7,0.43700787401574803,0.5174129353233831,0.44776119402985076,0.587630087457859,0.1320754716981132,0.6783216783216783,0.9369369369369369,1.3812575462059997
base_only,0.01,all,762,762,0,643,119,629,58,75,61,14,0.0984251968503937,0.5126050420168067,0.3709455168910338,0.6495726495726496,0.02177293934681182,0.08442503639010189,0.8133333333333334,9.633793103448276
base_only,0.01,ZFP,254,254,0,233,21,225,4,25,17,8,0.0984251968503937,0.8095238095238095,0.625,0.9583333333333334,0.034334763948497854,0.017467248908296942,0.68,38.93000000000001
base_only,0.01,SZ3,254,254,0,203,51,201,28,25,23,2,0.0984251968503937,0.45098039215686275,0.3137254901960784,0.5892857142857143,0.009852216748768473,0.1222707423580786,0.92,7.524285714285715
base_only,0.01,SPERR,254,254,0,207,47,203,26,25,21,4,0.0984251968503937,0.44680851063829785,0.3076530612244898,0.594610682110682,0.01932367149758454,0.11353711790393013,0.84,7.398461538461538
shared_base_rungs,0.0001,all,762,762,0,22,740,14,124,624,616,8,0.8188976377952756,0.8324324324324325,0.7866775269890565,0.876884636003993,0.36363636363636365,0.8985507246376812,0.9871794871794872,1.09863523573201
shared_base_rungs,0.0001,ZFP,254,254,0,18,236,11,35,208,201,7,0.8188976377952756,0.8516949152542372,0.806705483917705,0.8945147679324894,0.3888888888888889,0.7608695652173914,0.9663461538461539,1.270054945054945
shared_base_rungs,0.0001,SZ3,254,254,0,1,253,1,45,208,208,0,0.8188976377952756,0.8221343873517787,0.7746812064746847,0.8661417322834646,0.0,0.9782608695652174,1.0,1.0222222222222221
shared_base_rungs,0.0001,SPERR,254,254,0,3,251,2,44,208,207,1,0.8188976377952756,0.8247011952191236,0.7759775100401607,0.8690476190476191,0.3333333333333333,0.9565217391304348,0.9951923076923077,1.0404283216783217
shared_base_rungs,0.001,all,762,762,0,238,524,201,228,333,296,37,0.43700787401574803,0.5648854961832062,0.49701638041930973,0.629493103689701,0.15546218487394958,0.5314685314685315,0.8888888888888888,1.672514619883041
shared_base_rungs,0.001,ZFP,254,254,0,145,109,119,24,111,85,26,0.43700787401574803,0.7798165137614679,0.6964198179271709,0.8571428571428571,0.1793103448275862,0.16783216783216784,0.7657657657657657,4.562687687687688
shared_base_rungs,0.001,SZ3,254,254,0,40,214,36,107,111,107,4,0.43700787401574803,0.5,0.43180471779405427,0.5665104083902749,0.1,0.7482517482517482,0.963963963963964,1.2882882882882885
shared_base_rungs,0.001,SPERR,254,254,0,53,201,46,97,111,104,7,0.43700787401574803,0.5174129353233831,0.44776119402985076,0.587630087457859,0.1320754716981132,0.6783216783216783,0.9369369369369369,1.3812575462059997
shared_base_rungs,0.01,all,762,762,0,643,119,629,58,75,61,14,0.0984251968503937,0.5126050420168067,0.3709455168910338,0.6495726495726496,0.02177293934681182,0.08442503639010189,0.8133333333333334,9.633793103448276
shared_base_rungs,0.01,ZFP,254,254,0,233,21,225,4,25,17,8,0.0984251968503937,0.8095238095238095,0.625,0.9583333333333334,0.034334763948497854,0.017467248908296942,0.68,38.93000000000001
shared_base_rungs,0.01,SZ3,254,254,0,203,51,201,28,25,23,2,0.0984251968503937,0.45098039215686275,0.3137254901960784,0.5892857142857143,0.009852216748768473,0.1222707423580786,0.92,7.524285714285715
shared_base_rungs,0.01,SPERR,254,254,0,207,47,203,26,25,21,4,0.0984251968503937,0.44680851063829785,0.3076530612244898,0.594610682110682,0.01932367149758454,0.11353711790393013,0.84,7.398461538461538
