method,tau_e,codec_a,codec_b,n_pairs,n_materials,median_qoi_ratio,ci_lo,ci_hi,frac_a_worse,median_linf_ratio
0.10dex_mutual_nearest,0.0001,SZ3,ZFP,78.0,40,1.9136870713178094,1.4867635326936244,2.6330429886615763,0.95,0.918497716898695
common_support_interpolation,0.0001,SZ3,ZFP,,44,2.3676518330975984,2.057326896741195,2.8292618010554818,1.0,
0.10dex_mutual_nearest,0.0001,SPERR,ZFP,74.0,39,1.8608240054944931,1.6138967833546798,2.1852555807511225,0.8205128205128205,0.9194810660477584
common_support_interpolation,0.0001,SPERR,ZFP,,44,1.9637696849509894,1.6635731269394212,2.267415767196391,0.9318181818181818,
0.10dex_mutual_nearest,0.001,SZ3,ZFP,223.0,119,1.8177277571028227,1.6751294441600808,2.0135778973104457,0.9159663865546218,0.9646276954084567
common_support_interpolation,0.001,SZ3,ZFP,,132,2.0721806823456452,1.9542618654538195,2.1854194944287424,0.9696969696969697,
0.10dex_mutual_nearest,0.001,SPERR,ZFP,209.0,115,2.002337939302898,1.7911904668550096,2.2504140567850213,0.8173913043478261,0.9654827243031132
common_support_interpolation,0.001,SPERR,ZFP,,132,1.989286008555124,1.826301676366417,2.2126286948177345,0.946969696969697,
0.10dex_mutual_nearest,0.01,SZ3,ZFP,332.0,183,1.7775838007557372,1.6751294441600808,1.9268193381192393,0.907103825136612,0.9376917932995739
common_support_interpolation,0.01,SZ3,ZFP,,208,1.9601927699816404,1.7952988416026796,2.090770669121069,0.9567307692307693,
0.10dex_mutual_nearest,0.01,SPERR,ZFP,315.0,178,1.8615920698666146,1.7170561211929847,2.003002077782525,0.7921348314606742,0.9307919628049832
common_support_interpolation,0.01,SPERR,ZFP,,209,1.8757673978625162,1.6982359170343653,2.0309923315952747,0.8803827751196173,
