material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-1009084,bulk,SZ3,ZFP,0.6966477492110812,0.8443886949999992,0.8250320656070387,0.08352917187968618,0.0259032192491024,0.0224674463563729,1.1529222697689872,base,base,0.0003,0.003
mp-1009084,bulk,SZ3,ZFP,2.3221625751740333,2.802988618999997,0.8284595090516262,0.08172871286343986,0.0303640201949546,0.0319377952213151,0.9507237423417952,base,base,0.001,0.01
mp-1025517,bulk,SZ3,ZFP,1.3822304883614294,1.275597810000022,1.0835942783261798,0.03486670317367421,0.0268169053058162,0.0241645902351788,1.1097603991966791,base,base,0.001,0.01
mp-1025517,bulk,SZ3,ZFP,4.146215132289512,4.657900030000008,0.8901468699596596,0.05053833093862181,0.1010527797868281,0.0254792287969944,3.9660847112746427,base,base,0.003,0.03
mp-1044003,bulk,SZ3,ZFP,17.80730027921561,20.241482840000003,0.8797428735816673,0.05564424251117717,0.2532165886938192,0.3100623922340464,0.8166633394954976,base,base,0.001,0.01
mp-1046632,bulk,SZ3,ZFP,0.6724964216915623,0.7313426850000013,0.9195366761500611,0.036430944042073476,0.0030360680189307,0.0051625486633772,0.5880947990802253,base,base,0.0003,0.003
mp-1046632,bulk,SZ3,ZFP,2.241674853062733,2.5320606600000133,0.8853164098614925,0.052901485801562176,0.0211290389762854,0.0180107193723726,1.173136871406487,base,base,0.001,0.01
mp-1094905,bulk,SZ3,ZFP,0.1364358791677755,0.1717567520000003,0.7943552586961778,0.09998522504712437,0.0181902159989473,0.0160989621927623,1.1298999141152821,base,base,0.0001,0.001
mp-1097014,bulk,SZ3,ZFP,2.7840827310881195,2.787568110000052,0.9987496704028759,0.0005433509993398311,0.0104551819121114,0.0066671803845874,1.5681564483062087,base,base,0.0003,0.003
mp-1097014,bulk,SZ3,ZFP,9.280151667379386,9.761668809999946,0.9506726614073108,0.02196899496209226,0.0319507944384938,0.0687495580690722,0.4647418155967354,base,base,0.001,0.01
mp-1100976,bulk,SZ3,ZFP,0.3696253823485307,0.4190259162500069,0.882106256473163,0.05447909761138503,0.0044490437390258,0.0024568865868257,1.8108461997726844,base,base,0.0001,0.001
mp-1100976,bulk,SZ3,ZFP,1.108877141520452,1.373111599999902,0.8075651982843427,0.09282240508096923,0.0124115762457446,0.008868986539726,1.3994356841281264,base,base,0.0003,0.003
mp-1100976,bulk,SZ3,ZFP,11.088706288976994,12.542884559999948,0.8840634892183876,0.05351654491102065,0.0807726548825575,0.0270972449451392,2.9808438107301676,base,base,0.003,0.03
mp-1103974,bulk,SZ3,ZFP,0.188381424441701,0.1959824139999995,0.9612159611509913,0.017179026276119336,0.0045111233607322,0.0011915943965981,3.7857876586287,base,base,0.0001,0.001
mp-1103974,bulk,SZ3,ZFP,0.5651447661990829,0.6887276300000167,0.8205635168129806,0.08588779616636502,0.0093166711001373,0.0059680529986483,1.5610905436408533,base,base,0.0003,0.003
mp-1103974,bulk,SZ3,ZFP,1.8837982919494607,2.273343920000002,0.8286464161346335,0.08163074361006967,0.0189665037509456,0.0110114779702552,1.722430340611764,base,base,0.001,0.01
mp-1103974,bulk,SZ3,ZFP,5.651177451706758,4.531568670000013,1.2470687003197818,0.09589037917857646,0.0540601998075143,0.0216578962259426,2.496096538811515,base,base,0.003,0.03
mp-1104614,bulk,SZ3,ZFP,0.0203133033547828,0.0162894977031271,1.2470183995227335,0.0958728614594897,0.0007384672857275,0.0003511732331382,2.10285755303248,tight,base,3e-06,1e-05
mp-1104614,bulk,SZ3,ZFP,0.6771092519318245,0.8413128024999992,0.8048246144831787,0.09429874976982144,0.0038466159725949,0.0046580354506655,0.8258022106820437,base,base,0.0001,0.001
mp-1104614,bulk,SZ3,ZFP,20.311343354050564,18.67533592000001,1.0876025706342718,0.03647022540586331,0.1252802587071535,0.0800841636960107,1.5643574575205836,base,base,0.003,0.03
mp-1174037,bulk,SZ3,ZFP,0.0122751463684593,0.0152376394140674,0.8055805781259581,0.09389101280498702,0.0007022724081879,0.0004951025498325,1.418438277939567,base,base,1e-05,0.0001
mp-1174037,bulk,SZ3,ZFP,0.3682543393427693,0.3941900050000129,0.934205166726024,0.029557735127451745,0.0089360585795414,0.0045250309477129,1.9748060693503056,base,base,0.0003,0.003
mp-1174037,bulk,SZ3,ZFP,1.2275149554056668,1.3347124189999988,0.9196849732808756,0.0363609093882792,0.0117836252541598,0.0123511403343394,0.9540516045630411,base,base,0.001,0.01
