eligibility_tau_e,codec_a,codec_b,max_match_dex,n_pairs,n_materials,median_linf_ratio,median_qoi_ratio,ci_lo,ci_hi,fraction_materials_a_worse
0.0001,SZ3,ZFP,0.1,105,42,0.9295428386862961,1.9634192891938,1.6103333307686671,2.7451653118618786,0.9285714285714286
0.0001,SZ3,ZFP,0.15,196,46,0.8978086276045733,2.1463330250802493,1.85982374129459,2.459267199188904,0.9782608695652174
0.0001,SZ3,ZFP,0.2,256,46,0.8707551443719659,2.023635272590306,1.8431936533367024,2.4976379198834335,1.0
0.0001,SPERR,ZFP,0.1,109,42,0.9468557307032843,1.5706585053768047,1.3417447776228584,1.853140009859904,0.7857142857142857
0.0001,SPERR,ZFP,0.15,204,46,0.8980632025877241,1.7583684470721745,1.4358550231257454,1.9120728721478697,0.8913043478260869
0.0001,SPERR,ZFP,0.2,265,46,0.8739136554873341,1.7218089774602507,1.5278324276685304,1.8879657288225864,0.8913043478260869
0.001,SZ3,ZFP,0.1,287,128,0.9633034532653091,1.8953588112066573,1.7005108768858261,2.200160311634231,0.9140625
0.001,SZ3,ZFP,0.15,562,143,0.9312906950569153,1.9085816953295023,1.7256001027612564,2.097190999745861,0.972027972027972
0.001,SZ3,ZFP,0.2,740,143,0.8871477972746741,1.8108461997726844,1.7256001027612564,1.9384207161405282,0.9790209790209791
0.001,SPERR,ZFP,0.1,291,124,0.9647139111278183,1.8716049497818434,1.6347775782196559,2.0812614701858236,0.7983870967741935
0.001,SPERR,ZFP,0.15,568,141,0.9473588745755929,1.9143206388822185,1.7336430229165118,2.1060882226542934,0.8936170212765957
0.001,SPERR,ZFP,0.2,743,143,0.8972635870789822,1.9280990843248085,1.7806728174628546,2.0974514789601018,0.9090909090909091
0.01,SZ3,ZFP,0.1,430,200,0.9528565754253651,1.845415754853744,1.7221900944092021,2.0008257216064553,0.91
0.01,SZ3,ZFP,0.15,785,223,0.9101359323335934,1.8177277571028227,1.6995145624143058,1.9117297644134128,0.9551569506726457
0.01,SZ3,ZFP,0.2,1027,225,0.8756797734821279,1.736900560416788,1.670706634018546,1.8177277571028227,0.9644444444444444
0.01,SPERR,ZFP,0.1,439,193,0.9527799920415537,1.7314892679862224,1.5397574844919641,1.9303741748567766,0.7823834196891192
0.01,SPERR,ZFP,0.15,794,223,0.9196781768193848,1.699919849670415,1.5630886692883665,1.8665443003498634,0.8385650224215246
0.01,SPERR,ZFP,0.2,1032,226,0.8842083447300505,1.7737163134299747,1.6752502588412623,1.8839433702413888,0.8362831858407079
