tau_e,codec_a,codec_b,caliper_dex,n_pairs,n_materials,median_qoi_ratio,ci_lo,ci_hi,fraction_a_worse,median_linf_ratio
0.0001,SZ3,ZFP,0.05,35,25,1.7963118687038624,1.2874928258037523,2.472239842543735,0.8,0.9772704886304794
0.0001,SZ3,ZFP,0.075,54,37,1.9564198709864395,1.545617469745563,2.930551972789992,0.8918918918918919,0.9659441160478509
0.0001,SZ3,ZFP,0.1,79,41,1.9564198709864395,1.545617469745563,2.7259248271375367,0.9512195121951219,0.9196849732808756
0.0001,SZ3,ZFP,0.15,163,46,2.0339327265369356,1.8500654970166321,2.57147008285172,1.0,0.8842170401054338
0.0001,SPERR,ZFP,0.05,34,24,1.8919642200302793,1.4092584661263399,2.286932159646252,0.7916666666666666,0.975977870884625
0.0001,SPERR,ZFP,0.075,51,36,1.816988198436477,1.4542148079361528,2.255641512690596,0.8055555555555556,0.9694383522594981
0.0001,SPERR,ZFP,0.1,75,40,1.9123866003944219,1.6297728162485874,2.217834818768072,0.825,0.9195796214335716
0.0001,SPERR,ZFP,0.15,161,46,1.967656957053956,1.747946652466793,2.200907904168452,0.8913043478260869,0.8773507485889946
0.001,SZ3,ZFP,0.05,88,69,1.7368306783370249,1.545617469745563,1.9996185538119302,0.8260869565217391,0.9777047558050092
0.001,SZ3,ZFP,0.075,141,100,1.829919630354594,1.658882254956721,2.083208723616595,0.88,0.9695862280156371
0.001,SZ3,ZFP,0.1,232,124,1.8195829102675747,1.68008680680733,2.032202072703646,0.9112903225806451,0.9651719817734552
0.001,SZ3,ZFP,0.15,492,143,1.8500654970166321,1.7354432043433723,1.9965544408989724,0.965034965034965,0.9473555174439814
0.001,SPERR,ZFP,0.05,84,65,1.9878882585679047,1.4919271451290705,2.4799888712467766,0.8,0.9746956311723617
0.001,SPERR,ZFP,0.075,131,94,1.995777237415028,1.7557461965875876,2.286932159646252,0.8297872340425532,0.9695761980985811
0.001,SPERR,ZFP,0.1,217,119,2.0065705359959916,1.8379362153803003,2.3785124511134024,0.8235294117647058,0.9706426256168874
0.001,SPERR,ZFP,0.15,477,141,2.1124533348698695,1.893771569438963,2.274532840346822,0.9078014184397163,0.9706426256168874
0.01,SZ3,ZFP,0.05,140,110,1.7200053001811302,1.5697686996069256,1.8554219968257877,0.8636363636363636,0.9759908272677864
0.01,SZ3,ZFP,0.075,218,157,1.7221900944092021,1.593371501606614,1.8554219968257877,0.8789808917197452,0.9622755299253015
0.01,SZ3,ZFP,0.1,346,193,1.7775838007557372,1.6799628727411489,1.9268193381192393,0.9015544041450777,0.9463010770012721
0.01,SZ3,ZFP,0.15,680,223,1.7878307435562093,1.7017672675751336,1.8794134621659024,0.9461883408071748,0.9063497014143074
0.01,SPERR,ZFP,0.05,131,101,1.9878882585679047,1.747946652466793,2.4302815733660603,0.8415841584158416,0.9685097705802748
0.01,SPERR,ZFP,0.075,204,146,1.8661343708425269,1.7421885235493706,2.144149068462384,0.815068493150685,0.9574490747519289
0.01,SPERR,ZFP,0.1,326,185,1.8818290671323226,1.7429548399232715,2.0472310051834386,0.8,0.9346727244127728
0.01,SPERR,ZFP,0.15,655,222,1.8814500382484103,1.7421885235493706,2.094119160183216,0.8513513513513513,0.906529300286423
