material_id,corpus,system_type,source,formula,ngrid,sha256,url,source_bytes,npoints,natoms,crystal_system,symmetry_number,spacegroup_relax,upload_id,upload_description,cell_c_angstrom,vacuum_fraction,license
mp-1007755,dev_bulk,bulk,Materials Project,HfAu,56x56x96,eb051ccc7107eefc0ad7994d4b5dae77d769b099e33346d93d7ab3575edff6db,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2289007.json.gz,4121576,301056,4,tetragonal,129.0,,,,,,
mp-1009084,dev_bulk,bulk,Materials Project,BeSnAs2,108x108x108,833d46b76192bc38a8c37b2dc34151fbbe1960278a4ca405b2d33d2b785a8580,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1832522.json.gz,18346925,1259712,8,tetragonal,122.0,,,,,,
mp-1025517,dev_bulk,bulk,Materials Project,Ti2InN,48x48x216,2d5524cc5ff048f472f0aae5504df551b07f4f2f5322a27f680dfb80f04e4f28,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1802754.json.gz,7073047,497664,8,hexagonal,194.0,,,,,,
mp-1036731,dev_bulk,bulk,Materials Project,HfMg30VO32,128x128x128,9c0c4f03ea8cd143bdbfe41cf4413ddaa69ab5e2bd45a20205be266025dfc29a,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1884926.json.gz,20887926,2097152,64,tetragonal,123.0,,,,,,
mp-1038991,dev_bulk,bulk,Materials Project,CaMg2,56x56x252,8947df8fc8f3fb0a54ee32ed0d6ed812cfc84f25f65f5bf48672347c96d8d43a,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1778568.json.gz,11017186,790272,6,trigonal,164.0,,,,,,
mp-1039028,dev_bulk,bulk,Materials Project,CaMg5,56x56x252,f78d3cb60ff62d262d2baf3c17667803fd5d1396989c4671ad6cae9535a01859,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1786339.json.gz,10654244,790272,6,hexagonal,187.0,,,,,,
mp-1041800,dev_bulk,bulk,Materials Project,Zn(WO2)2,48x160x160,348fcea165870dd948301c2d6331fc5731d2d0e4c15b469a847254f70eb5b5f8,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1841546.json.gz,12085160,1228800,28,orthorhombic,57.0,,,,,,
mp-1044003,dev_bulk,bulk,Materials Project,MgCuBiO5,160x80x128,b48c8adf46e8c6399415f51676b2517ce6c6a2369be0c2172ae5342329cefac5,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1820586.json.gz,23458907,1638400,32,monoclinic,14.0,,,,,,
mp-1044463,dev_bulk,bulk,Materials Project,BaCa(CoO2)4,80x80x120,897f2440eeee34d6704f109df923a6eaba5cafaab283f3b3d02beae3e34e38bf,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1831650.json.gz,11251315,768000,14,trigonal,162.0,,,,,,
mp-1046632,dev_bulk,bulk,Materials Project,Sr2CoSO3,60x60x216,d7ccc8b2219c3f52dbae2751b0fccccd1c2b913141654e9e066455a404787007,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1922672.json.gz,11145550,777600,14,tetragonal,129.0,,,,,,
mp-1065204,dev_bulk,bulk,Materials Project,CrAgS2,112x112x112,edde2b3f64ee8eeb161aad50ae63ee18a6a7614e7577b05c3ebcd599ca1745f3,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2543578.json.gz,20260427,1404928,4,trigonal,160.0,,,,,,
mp-1069461,dev_bulk,bulk,Materials Project,HoSi3Ir,96x96x96,c1ae05028456fdb244cfcb5f463cfcd40b05b635203afb234b0cf41a23044f2c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2431124.json.gz,12708317,884736,5,tetragonal,107.0,,,,,,
mp-10761,dev_bulk,bulk,Materials Project,FeTe,64x64x80,2e5c9e0b0d6fa9b678f4739dc8171739b0e1615ae513e62c3a195d95f1840333,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2289726.json.gz,4551807,327680,4,hexagonal,194.0,,,,,,
mp-1077125,dev_bulk,bulk,Materials Project,BC5,96x96x96,9c1035e17787fbe17326ebcc541895e08dee3b6cd04c29f7e3b9b70a82c94632,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2609012.json.gz,12676310,884736,6,tetragonal,119.0,,,,,,
mp-1077596,dev_bulk,bulk,Materials Project,EuInPt4,80x80x80,ec74d339c81393dbc2bc3d281fc853ac3efb8a43b38c83d5bfbf08c075bdf12a,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2693516.json.gz,7201279,512000,6,cubic,216.0,,,,,,
mp-1078524,dev_bulk,bulk,Materials Project,ErZnNi,108x108x56,2fe10acde70044c3c3922afc3582c444a1c4dbf5bdd164879df14e0a7b1cf9ad,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2441457.json.gz,8788677,653184,9,hexagonal,189.0,,,,,,
mp-1079749,dev_bulk,bulk,Materials Project,Tm(BC)2,56x56x108,1c7ffcf5ed017432d8a01ad935f5515cf85ac0138049a310dc73bc4d3fa46d59,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2687557.json.gz,3221914,338688,10,tetragonal,131.0,,,,,,
mp-1094905,dev_bulk,bulk,Materials Project,MgTi3,48x72x80,817cfe7e3111fbf0b7d0f9f9f31adabe43a4b69df7e3c1bc8f29910220995716,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1801447.json.gz,3720995,276480,4,orthorhombic,25.0,,,,,,
