material_id,domain,case_role,stability_floor_e,codec,relative_tolerance,compression_ratio,dq_total_max_e,dq_integrand_max_e,dq_domain_max_e,domain_share_of_total,atom_of_max_total,dq_total_at_that_atom,dq_integrand_at_that_atom,dq_domain_at_that_atom,frac_voxels_reassigned,linf,mean_signed_error
mp-8881,bulk,most_stable,1.475e-10,zfp,0.0001,14.588776060598954,2.329806836698367e-05,8.429876512394685e-07,2.2467946319437715e-05,0.9643694904457254,3,-2.329806836698367e-05,-8.301220475459559e-07,-2.2467946319437715e-05,7.876800411522634e-05,0.001783800993166551,-1.6505966026888825e-06
mp-8881,bulk,most_stable,1.475e-10,zfp,0.001,22.764299044900646,7.820964775362427e-06,1.0807476028773522e-05,4.286628692895533e-06,0.5480946169709464,3,7.820964775362427e-06,3.5343360824668935e-06,4.286628692895533e-06,0.0005369084362139918,0.011927475281247268,1.4499858322722641e-05
mp-8881,bulk,most_stable,1.475e-10,zfp,0.01,44.960971379011276,0.0013648841127000821,0.00020331978415732976,0.0011615643285427524,0.8510351301876374,2,0.0013648841127000821,0.00020331978415732976,0.0011615643285427524,0.004447980967078189,0.1559403039999978,0.00037618967313753744
mp-8881,bulk,most_stable,1.475e-10,sz3,0.0001,55.66400089480454,2.903052797975647e-05,1.680849115359706e-05,4.3970362961331944e-05,1.5146249834654506,2,2.903052797975647e-05,-1.4939834981575473e-05,4.3970362961331944e-05,0.0008953832304526749,0.010048953961409701,1.1099200982402457e-06
mp-8881,bulk,most_stable,1.475e-10,sz3,0.001,188.67346551920232,0.0010107370956902173,0.0010687729555183267,0.000485282991704139,0.4801278134278296,2,0.0010107370956902173,0.0005254541039860783,0.000485282991704139,0.0049302340534979425,0.10048951895104352,0.0016162468524415592
mp-8881,bulk,most_stable,1.475e-10,sz3,0.01,613.5667611885094,0.015102867868669852,0.003069115972294867,0.015561061206428306,1.0,1,0.015102867868669852,0.0,0.015102867868669852,0.022635352366255145,1.004882405775808,0.0005668427867008588
mp-8881,bulk,most_stable,1.475e-10,sperr,0.0001,8.95699360168462,0.0004928081287438602,8.009909393535963e-07,0.000492010654923547,0.9983746393522459,3,-0.0004928081287438602,-8.009909393535963e-07,-0.0004920071378045066,0.001367991255144033,0.010048895393062196,-6.218205275552979e-08
mp-8881,bulk,most_stable,1.475e-10,sperr,0.001,14.033013946615986,0.0012879828554179795,2.9873995682550003e-05,0.0012589067339892068,0.9768055952322011,2,-0.0012879828554179795,-2.9873995682550003e-05,-0.0012581088597354295,0.006336805555555556,0.10048370469366219,-4.580899574164857e-05
mp-8881,bulk,most_stable,1.475e-10,sperr,0.01,24.127642863722528,0.007080304046866104,0.00017327455895710386,0.006907029487909,0.9755272432073311,3,-0.007080304046866104,-0.00017327455895710386,-0.006907029487909,0.023641653806584364,1.004875935567242,-0.0001792587830249741
mp-1069461,bulk,most_stable,5.311e-10,zfp,0.0001,12.80592867068087,0.0022786591048351568,1.4107971217924842e-06,0.002279074966079264,1.0001825026144653,4,0.0022786591048351568,-4.158612441074183e-07,0.002279074966079264,0.00026109483506944444,0.0042803912519531195,5.981154834705652e-08
mp-1069461,bulk,most_stable,5.311e-10,zfp,0.001,24.813798906184267,0.0033292062955792012,2.1610537013216913e-05,0.0033210113092700944,0.9975384564423091,1,-0.0033292062955792012,-8.194986309106866e-06,-0.0033210113092700944,0.0036881058304398147,0.0471751850000004,1.155688525168907e-05
mp-1069461,bulk,most_stable,5.311e-10,zfp,0.01,43.82701738742755,0.04857007534526803,0.0001716343440874013,0.048488917174162705,0.9983290499236742,1,0.04857007534526803,8.11581711053222e-05,0.048488917174162705,0.014579490379050927,0.32730008999999427,-0.00015148610158280165
mp-1069461,bulk,most_stable,5.311e-10,sz3,0.0001,51.93636630466686,0.004145588640633857,0.00025436757196928284,0.004130258653118002,0.996302096313755,1,-0.004145588640633857,-1.5329987515855237e-05,-0.004130258653118002,0.003509521484375,0.02623281688504342,-0.0002348202495796473
mp-1069461,bulk,most_stable,5.311e-10,sz3,0.001,191.56867945976668,0.0776342047435521,0.002640624231208477,0.07715048804198066,0.9937692837433024,1,0.0776342047435521,0.000483716701571435,0.07715048804198066,0.020938449435763888,0.26232826625519223,-0.0016650097721599905
mp-1069461,bulk,most_stable,5.311e-10,sz3,0.01,967.3210332103321,1.6773281170744099,0.012455227810985292,1.6648728892634246,0.9925743641424735,4,-1.6773281170744099,-0.012455227810985292,-1.6648728892634246,0.12121355975115741,2.623075228685991,0.0010036385629600254
mp-1069461,bulk,most_stable,5.311e-10,sperr,0.0001,66.29656897181555,0.0012006884276374308,2.3941846645669784e-05,0.0012246302742831006,1.0199400994417676,4,0.0012006884276374308,-2.3941846645669784e-05,0.0012246302742831006,0.0013710304542824073,0.026224650560573437,-1.2020645114899248e-05
mp-1069461,bulk,most_stable,5.311e-10,sperr,0.001,195.99280037659568,0.01360148499767666,5.598505593429337e-05,0.01358486228466349,0.9987778751352511,1,0.01360148499767666,1.66227130131702e-05,0.01358486228466349,0.007480197482638889,0.26171270678992187,4.78819346446567e-05
mp-1069461,bulk,most_stable,5.311e-10,sperr,0.01,657.8574216934659,0.084327992877828,0.0035857548653268623,0.08791374774315486,1.0425215250945412,4,-0.084327992877828,0.0035857548653268623,-0.08791374774315486,0.022145589192708332,2.5891561756649537,0.003385271775554971
mp-1038991,bulk,median_stability,6.385e-09,zfp,0.0001,24.216958293751723,0.011010870471723777,6.0899872465824956e-05,0.010970318012343938,0.9963170523634822,1,0.011010870471723777,4.055245937983898e-05,0.010970318012343938,0.005404468334953029,0.05761201684374839,0.00031884107263029755
mp-1038991,bulk,median_stability,6.385e-09,zfp,0.001,41.78901168632013,0.01677127613531937,0.0005123118369994017,0.01629259055742871,0.9714580110643714,4,-0.01677127613531937,-0.00047868557789065846,-0.01629259055742871,0.018143120343375445,0.47202006624999626,-0.0025940800481989864
mp-1038991,bulk,median_stability,6.385e-09,sz3,0.0001,90.37489814880995,0.018314604903622467,0.0024466589050344822,0.019754746489109465,1.078633505503695,1,0.018314604903622467,-0.0014401415854869981,0.019754746489109465,0.022968041383219954,0.3221072835921177,-0.0053068309671666794
mp-1038991,bulk,median_stability,6.385e-09,sz3,0.001,287.5807860262009,0.07358175695264713,0.018135564950163996,0.09171732190281112,1.2464682239353835,0,0.07358175695264713,-0.018135564950163996,0.09171732190281112,0.07420356535471331,3.2210826428080495,-0.02101590875393884
mp-1038991,bulk,median_stability,6.385e-09,sz3,0.01,1239.6423529411766,0.48818231538121815,0.2946476145616934,0.5349468732283746,1.0957932239119281,0,0.48818231538121815,-0.046764557847156496,0.5349468732283746,0.1894689423388403,32.198077417584116,0.532732937624204
mp-1038991,bulk,median_stability,6.385e-09,sperr,0.0001,11.67676827376291,0.030851335998580254,8.728554163006663e-05,0.030846870638157498,0.9998552620080063,4,-0.030851335998580254,-4.465360422756248e-06,-0.030846870638157498,0.03488798793326855,0.3221071522775105,0.00010107694489556393
mp-1038991,bulk,median_stability,6.385e-09,sperr,0.001,21.498954327045695,0.20272253514989558,0.0013758362026479176,0.20350002301243109,1.0038352315491745,0,0.20272253514989558,-0.0007774878625355086,0.20350002301243109,0.08588055758017493,3.220916266985654,-0.0024961989702800137
mp-1038991,bulk,median_stability,6.385e-09,sperr,0.01,48.19944040802946,0.31250417604393554,0.03606430600602195,0.3365741249909231,1.077022807348352,0,0.31250417604393554,-0.02406994894698755,0.3365741249909231,0.14923089771622935,32.210622935729745,7.170833735502893e-05
mp-1046632,bulk,median_stability,6.515e-09,zfp,0.0001,13.500937565108687,0.00031227298564928674,2.722718852155026e-06,0.00031406826443181046,1.0057490684914385,2,0.00031227298564928674,-1.7952787825237237e-06,0.00031406826443181046,0.0007728909465020576,0.030982973375003553,1.8519445033099486e-06
mp-1046632,bulk,median_stability,6.515e-09,zfp,0.001,25.91222633210037,0.00121515139585604,4.5775879920384455e-05,0.0012140420042436872,0.9990870342443451,5,0.00121515139585604,1.1093916123527947e-06,0.0012140420042436872,0.005811471193415638,0.4358112980000044,-3.946106989998227e-05
mp-1046632,bulk,median_stability,6.515e-09,zfp,0.01,46.68027374234602,0.01801071937237264,0.0003272433331602542,0.018038636509773553,1.0015500290034909,5,-0.01801071937237264,2.7917137400912395e-05,-0.018038636509773553,0.020136316872427982,2.5320606600000133,0.00023060065849507945
