caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,realized_linf_a,realized_linf_b,rmse_a,rmse_b,resolved_bader_error_a,resolved_bader_error_b,compression_ratio_a,compression_ratio_b,distance,d_log10_linf,d_log10_rmse,error_ratio_a_over_b,compression_ratio_a_over_b,linf_ratio_a_over_b,rmse_ratio_a_over_b,jointly_eligible_tau_0.01,certification_difference_pp_a_minus_b
0.05,ZFP,SPERR,mp-1077125,dev_bulk,0,0.1,0.01,0.6525615299999998,0.6622587193936624,0.0970724104912715,0.0911646467386519,0.0163361055342239,0.0145944709784142,48.75921741526592,241.22858798268635,0.5602348271766585,0.0064062174406347705,0.027269360682961707,1.1193352303338469,0.20212868558831637,0.9853574001977038,1.0648032319979892,True,0.0
0.05,ZFP,SPERR,mp-1077596,dev_bulk,0,0.01,0.001,1.5022931660000012,1.3539359242102478,0.2015332038028366,0.2033202223412922,0.0150711466171582,0.0062067252861357,44.14173635658246,192.30949809850227,0.9063809402353052,0.04515658002295794,0.0038339669644880114,2.428196177914212,0.22953487369600828,1.1095747879474358,0.9912108175080788,False,
0.05,ZFP,SPERR,mp-1111338,dev_bulk,0,0.03,0.003,5.625353500000074,5.723588239946139,0.6486145820280893,0.6526791398396719,0.0484652260396378,0.0405342910970762,69.77413249211357,343.5367664903169,0.1598615676518568,0.007518563757042185,0.002713024338550002,1.1956598901302524,0.20310528391167196,0.9828368611039375,0.9937725023468944,True,0.0
0.05,ZFP,SPERR,mp-1188002,dev_bulk,0,0.1,0.01,6.170690838999999,5.665729621981825,0.6177909269831382,0.6007273573922244,0.1034043732467573,0.0437983760191347,76.12645319192332,467.58283745693706,0.7804459090236966,0.03707794271943843,0.012164115503134731,2.360917975624983,0.16280848460126454,1.0891255408763298,1.0284048485239414,True,0.0
0.05,ZFP,SPERR,mp-1194734,dev_bulk,0,0.03,0.003,19.864233400000103,19.65150301725862,2.4241469456665654,2.197581878864305,0.1738763995650156,0.0153611403030886,74.97396737244013,343.25726913813224,0.8573932176588356,0.004676037055435733,0.04261387686745505,11.319237773647247,0.2184191686914266,1.0108251456672122,1.1030974404099783,True,0.0
0.05,ZFP,SPERR,mp-1224859,dev_bulk,0,0.03,0.003,10.135054999999966,9.128182050375017,1.271008984853161,1.2248660534458409,0.0779219284400305,0.0247443435947474,68.61176470588235,282.0425049589119,0.9639259366447397,0.04544181685909787,0.016060022069888477,3.1490804410172903,0.2432674632352941,1.1103037761591952,1.0376718183000573,True,0.0
0.05,ZFP,SPERR,mp-1247173,dev_bulk,0,0.01,0.001,5.317976770000001,5.118851481517012,0.6840470799792234,0.6123652753735006,0.0159783099361519,0.0711984933200975,59.47087149466528,289.37276747257795,1.0170431826573394,0.016573906811160333,0.04807543761100255,0.22441921438303292,0.20551647625342273,1.0389003840416124,1.1170572654728044,True,0.0
0.05,ZFP,SPERR,mp-1666665,dev_bulk,0,0.03,0.003,23.240218620000007,22.824894288749192,2.879015108859315,2.7931600661978235,0.0224935998784268,0.0369217332552729,58.0828133862734,291.28837264430484,0.3060747723394704,0.007831434313078756,0.013148119723237206,0.6092238336404324,0.19939969748534697,1.0181961119292253,1.0307376020803425,True,0.0
0.05,ZFP,SPERR,mp-1778,dev_bulk,0,0.03,0.003,0.6076813312000002,0.6075831444104418,0.087396070913126,0.0944001581548999,0.0067208224809611,0.0295946861079539,59.84415584415584,160.51088534107402,0.6696177412042074,7.017728543806667e-05,0.033480813512923646,0.22709558251252426,0.37283549783549785,1.0001616022275497,0.9258042848796821,True,100.0
0.05,ZFP,SPERR,mp-19133,dev_bulk,0,0.03,0.003,5.369998100000004,5.490595122489253,0.6843070180906697,0.6738401864430811,0.0197683322977866,0.0248494925076077,60.87772655336131,335.00037864445284,0.23481257934281782,0.009645287895260202,0.006694086193171911,0.7955225762350883,0.18172435147595128,0.9780357101919082,1.0155331068971096,True,0.0
0.05,ZFP,SPERR,mp-19133,dev_bulk,1,0.003,0.0003,0.646214179999987,0.5859361719261642,0.1111255991121195,0.1075134994633963,0.0032763478710347,0.003531942776938,32.74374537379719,101.88996055624334,0.8976480523440649,0.04252617421233651,0.01435111743226769,0.9276333389169779,0.3213638045891932,1.1028747002863284,1.0335967080110993,True,0.0
0.05,ZFP,SPERR,mp-22490,dev_bulk,0,0.01,0.001,5.431149799999986,5.166090594470916,0.6900365050142749,0.6299753061447854,0.0801891349370613,0.0611079291389984,58.69769829725336,298.1231496319635,0.902500900962583,0.021729763658028922,0.03954854057941823,1.312254171707571,0.19689077607598188,1.0513075023912188,1.0953389732639551,True,0.0
0.05,ZFP,SPERR,mp-28105,dev_bulk,0,0.03,0.003,40.75126649999993,44.643864821682655,4.939460976243902,5.009405178982172,0.0592975282422756,0.0811280346442675,74.43142660234321,402.7267960146828,0.8017701363861605,0.0396206738205529,0.006106601756055485,0.7309129144109687,0.18481865954514123,0.9128077656979159,0.986037423558443,True,0.0
0.05,ZFP,SPERR,mp-37888,dev_bulk,0,0.01,0.001,2.6401366799999977,2.8539873872346675,0.3337740699115097,0.3065783011166677,0.0214582165046088,0.026592705101752,61.43910438623344,410.49758948137327,1.0013209508296972,0.0338256385865594,0.03691118110596958,0.8069211621195722,0.14966982988586172,0.9250694981375241,1.0887074156774479,True,0.0
0.05,ZFP,SPERR,mp-567278,dev_bulk,0,0.01,0.001,0.6607951999999955,0.7307541502181039,0.10110478256823,0.1012112147948359,0.009913113485661,0.0183650499357705,39.075573244086655,196.27442071785552,0.8741359910997359,0.043704410933103816,0.00045693799381296696,0.5397814609996103,0.1990864275699878,0.9042647240563353,0.9989484146907864,False,
0.05,ZFP,SPERR,mp-684706,dev_bulk,0,0.01,0.001,1.3453554000000167,1.2132283166005209,0.1952316033082441,0.1769599167368268,0.0087553100880031,0.0057590854624809,46.106346483704975,176.86365297916413,1.2388202595011266,0.04489448811230032,0.042675215588332094,1.520260490149331,0.2606886474811003,1.1089053738621246,1.1032532502746981,True,0.0
0.05,ZFP,SPERR,mp-7660,dev_bulk,0,0.03,0.003,5.350913126000002,5.01005242441579,0.6482361564493061,0.6132517744079855,0.0162387402672159,0.0111956067246001,66.79712981082844,284.14845646895594,0.7477112130108486,0.028585629822814873,0.024094437382690292,1.4504564751756173,0.23507827788649704,1.0680353562615583,1.0570473392842499,True,0.0
0.05,ZFP,SPERR,mp-779079,dev_bulk,0,0.01,0.001,5.907376300000124,5.862505082823645,0.8064235996710014,0.8840379566236773,0.0343391452026935,0.0162920790028628,43.70614592668237,168.12859261634665,0.8008966437942621,0.003311404048005784,0.03990768332455711,2.1077202729411955,0.2599566513140071,1.0076539323279983,0.9122047233705879,True,0.0
0.05,ZFP,SPERR,mp-998744,dev_bulk,0,0.01,0.001,2.6385596499999906,2.8723631029155854,0.3206573205671262,0.3107911138507696,0.0143227064628312,0.017993433309309,64.67096122268536,363.0561957099805,0.785821889522585,0.03687242260642687,0.013572566310951495,0.7959963069094361,0.17812934192244537,0.9186024034780724,1.031745459495647,True,0.0
0.05,SZ3,SPERR,mp-1025517,dev_bulk,0,0.003,0.003,4.146215132289512,4.146540633344934,1.290077223625526,1.3035935696270675,0.1010527797868281,0.1157611700153147,304.4049239238474,22.555858341501,0.09053260177344886,3.409320527236748e-05,0.004526501697009397,0.8729419353092168,13.495603639421974,0.9999215005750085,0.9896314723266023,True,0.0
0.05,SZ3,SPERR,mp-1038991,dev_bulk,0,1e-05,1e-05,0.0322108861774257,0.0322099860526599,0.0129706857495122,0.012844883722143,0.0162171986897234,0.0099038210184172,37.673036700691824,7.446860438271226,0.0846555539670777,1.2136414963226372e-05,0.004232760299274441,1.637468877877115,5.058915366142883,1.0000279455186454,1.00979394053621,True,-100.0
0.05,SZ3,SPERR,mp-1038991,dev_bulk,1,0.0001,0.0001,0.3221072835921177,0.3221071522775105,0.1119096887551811,0.1208615534140082,0.0183146049036224,0.0308513359985802,90.37489814880996,11.67676827376291,0.6684096797986365,1.7705039223603336e-07,0.033420483989462846,0.5936405770066246,7.739718390393826,1.000000407673677,0.9259329008608493,True,0.0
0.05,SZ3,SPERR,mp-1041800,dev_bulk,0,0.001,0.001,6.873949314912863,6.873818039692651,2.327226139337111,2.289798869118685,0.0320698086525155,0.0273326317045441,200.44859508176663,17.445438638210877,0.1408250917682723,8.294016370702373e-06,0.007041249703578778,1.1733158006582964,11.490028954773457,1.0000190978608183,1.0163452217237017,True,0.0
0.05,SZ3,SPERR,mp-1041800,dev_bulk,1,0.0003,0.0003,2.0621852085971497,2.06216508632258,0.7913561676857277,0.7510361004614359,0.0118895600903154,0.0221640095728297,93.26578243297092,12.984059182711167,0.4542235788168412,4.237754887004286e-06,0.022711178545473623,0.536435433816565,7.183098992428987,1.000009757838838,1.0536859242844907,True,0.0
