caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,n_jointly_eligible_cert_pairs,material_error_ratio_a_over_b,material_compression_ratio_a_over_b,material_linf_ratio_a_over_b,material_rmse_ratio_a_over_b,material_certification_difference_pp
0.05,ZFP,SPERR,mp-1077125,dev_bulk,1,1,1.1193352303338469,0.2021286855883164,0.9853574001977038,1.0648032319979892,0.0
0.05,ZFP,SPERR,mp-1077596,dev_bulk,1,0,2.428196177914212,0.22953487369600828,1.1095747879474358,0.9912108175080788,
0.05,ZFP,SPERR,mp-1111338,dev_bulk,1,1,1.1956598901302524,0.20310528391167196,0.9828368611039375,0.9937725023468944,0.0
0.05,ZFP,SPERR,mp-1188002,dev_bulk,1,1,2.360917975624983,0.16280848460126454,1.0891255408763298,1.0284048485239414,0.0
0.05,ZFP,SPERR,mp-1194734,dev_bulk,1,1,11.319237773647247,0.21841916869142658,1.0108251456672122,1.1030974404099783,0.0
0.05,ZFP,SPERR,mp-1224859,dev_bulk,1,1,3.149080441017291,0.24326746323529413,1.1103037761591952,1.0376718183000573,0.0
0.05,ZFP,SPERR,mp-1247173,dev_bulk,1,1,0.22441921438303294,0.20551647625342276,1.0389003840416124,1.1170572654728044,0.0
0.05,ZFP,SPERR,mp-1666665,dev_bulk,1,1,0.6092238336404324,0.19939969748534697,1.0181961119292253,1.0307376020803425,0.0
0.05,ZFP,SPERR,mp-1778,dev_bulk,1,1,0.2270955825125243,0.37283549783549785,1.0001616022275497,0.9258042848796821,100.0
0.05,ZFP,SPERR,mp-19133,dev_bulk,2,2,0.8590420615876682,0.24166015181824138,1.0385811671444978,1.0245250978698064,0.0
0.05,ZFP,SPERR,mp-22490,dev_bulk,1,1,1.312254171707571,0.19689077607598188,1.0513075023912188,1.0953389732639551,0.0
0.05,ZFP,SPERR,mp-28105,dev_bulk,1,1,0.7309129144109687,0.18481865954514123,0.9128077656979159,0.986037423558443,0.0
0.05,ZFP,SPERR,mp-37888,dev_bulk,1,1,0.8069211621195722,0.14966982988586172,0.9250694981375241,1.0887074156774479,0.0
0.05,ZFP,SPERR,mp-567278,dev_bulk,1,0,0.5397814609996103,0.19908642756998782,0.9042647240563353,0.9989484146907864,
0.05,ZFP,SPERR,mp-684706,dev_bulk,1,1,1.520260490149331,0.2606886474811003,1.1089053738621246,1.1032532502746981,0.0
0.05,ZFP,SPERR,mp-7660,dev_bulk,1,1,1.4504564751756173,0.23507827788649702,1.0680353562615583,1.0570473392842499,0.0
0.05,ZFP,SPERR,mp-779079,dev_bulk,1,1,2.1077202729411955,0.2599566513140071,1.0076539323279983,0.9122047233705879,0.0
0.05,ZFP,SPERR,mp-998744,dev_bulk,1,1,0.7959963069094361,0.17812934192244537,0.9186024034780724,1.031745459495647,0.0
0.05,SZ3,SPERR,mp-1025517,dev_bulk,1,1,0.8729419353092168,13.495603639421974,0.9999215005750085,0.9896314723266023,0.0
0.05,SZ3,SPERR,mp-1038991,dev_bulk,2,2,0.9859350736703512,6.257362087555904,1.000014176501371,0.9669547210869809,-50.0
0.05,SZ3,SPERR,mp-1041800,dev_bulk,2,2,0.7933524881980036,9.084823355905886,1.0000144278389238,1.0348471647272675,0.0
0.05,SZ3,SPERR,mp-1044003,dev_bulk,4,4,0.8833299235716638,8.065379060591235,1.0000083668974573,0.9757060497439385,0.0
0.05,SZ3,SPERR,mp-1044463,dev_bulk,2,2,0.9005483208634819,10.762565510261332,1.000000972714263,1.043194390398423,0.0
0.05,SZ3,SPERR,mp-1046632,dev_bulk,2,2,0.375263307016739,9.74006998677844,0.9999748291502728,1.045408579231792,50.0
0.05,SZ3,SPERR,mp-10761,dev_bulk,1,1,0.6066250233513549,7.5910427113954695,0.9999618065311001,1.00871285600513,0.0
0.05,SZ3,SPERR,mp-1094905,dev_bulk,2,2,0.18959083335714222,4.707171469677719,1.00000742671824,1.0258943021627893,50.0
0.05,SZ3,SPERR,mp-1097014,dev_bulk,3,3,0.9290317723723742,20.587289263531503,1.00001158814265,0.9637776300218241,0.0
0.05,SZ3,SPERR,mp-1100976,dev_bulk,1,1,0.6924901195681715,8.93900392579478,0.9999954451644034,1.0455613952644833,0.0
0.05,SZ3,SPERR,mp-1104614,dev_bulk,4,4,0.46136565208570735,9.51565175074173,1.0000085258335376,0.9994047398279762,25.0
0.05,SZ3,SPERR,mp-1105871,dev_bulk,1,1,0.9830708365281012,4.592256750134067,1.0000077604545992,1.1159223360766088,0.0
0.05,SZ3,SPERR,mp-11306,dev_bulk,1,1,0.557442373996461,20.24763516111667,1.0000164524201411,0.9708064846526091,0.0
0.05,SZ3,SPERR,mp-1173587,dev_bulk,2,2,0.7004418602252296,14.73189430614435,1.000005029655034,0.9610478480916838,0.0
0.05,SZ3,SPERR,mp-1174037,dev_bulk,2,2,1.8882001058793976,10.131768469276558,1.0000514255874056,1.048553094376109,0.0
0.05,SZ3,SPERR,mp-1175088,dev_bulk,1,1,1.2929558146073024,7.928376757876377,0.9999882354737876,1.0648963713960626,0.0
0.05,SZ3,SPERR,mp-1175263,dev_bulk,1,1,0.916564120903117,12.671224414150984,1.0000078398024796,0.9806090171450631,0.0
0.05,SZ3,SPERR,mp-1177023,dev_bulk,1,1,1.6132418123950534,13.006511309115831,0.9999992379177447,0.9954734458768892,0.0
0.05,SZ3,SPERR,mp-1178256,dev_bulk,3,3,1.215777404485081,8.236981223795345,1.0000050001639933,1.0704820686086352,33.333333333333336
0.05,SZ3,SPERR,mp-1178447,dev_bulk,2,2,1.8056362761530318,17.939106389712407,0.9999373949508642,0.9490659108973786,0.0
0.05,SZ3,SPERR,mp-1184653,dev_bulk,1,1,0.9361360273678784,9.747160768242281,1.000151406593085,1.1143517762577826,0.0
0.05,SZ3,SPERR,mp-1187017,dev_bulk,5,5,0.9327530913083618,10.827175335006896,0.9999981080290001,1.0505574614938102,-20.0
0.05,SZ3,SPERR,mp-1193567,dev_bulk,3,3,0.9225461109142987,19.02562237310055,0.9999995842320659,0.9599508716050819,0.0
0.05,SZ3,SPERR,mp-1197354,dev_bulk,3,3,1.4545678585024977,17.441244184373353,1.0000089865551525,1.0082053907317055,0.0
0.05,SZ3,SPERR,mp-1199510,dev_bulk,1,1,0.5416882744791381,8.025012098425345,1.0000055483559038,0.9545025175643945,0.0
0.05,SZ3,SPERR,mp-1200041,dev_bulk,2,2,1.792943417368442,12.714066717278868,1.000047816312739,0.9977272329869198,0.0
0.05,SZ3,SPERR,mp-1200429,dev_bulk,2,2,2.0722483667964715,4.229001518913615,1.0000077641581213,1.0794942146703888,0.0
0.05,SZ3,SPERR,mp-1206630,dev_bulk,1,1,0.7848194734083872,4.547717227253127,1.0000065746240299,1.0787363312258613,0.0
0.05,SZ3,SPERR,mp-1209117,dev_bulk,1,0,1.1395066367258075,14.62614559570977,1.000035245183489,0.934415027257446,
0.05,SZ3,SPERR,mp-1209933,dev_bulk,3,3,0.7418070474154514,11.83620230700976,1.0000109890356403,0.9922943251347461,33.333333333333336
0.05,SZ3,SPERR,mp-1211145,dev_bulk,4,4,0.8010194535570422,11.576014045206813,1.0000055637863747,1.0189143563507106,25.0
0.05,SZ3,SPERR,mp-1211797,dev_bulk,2,2,1.0072236788977729,14.775676211643368,1.0000098224137666,0.9493709165495615,0.0
0.05,SZ3,SPERR,mp-1215324,dev_bulk,1,0,0.42140456886344874,6.7615765915309165,1.000021272581158,1.0608738393900485,
0.05,SZ3,SPERR,mp-1218887,dev_bulk,1,1,0.09572875076225472,11.973603878613757,1.0000479880423907,1.0063279938715382,100.0
0.05,SZ3,SPERR,mp-1219705,dev_bulk,1,1,0.7355820787142726,22.474687313877304,0.9998348675963014,0.919496852442663,0.0
0.05,SZ3,SPERR,mp-1223327,dev_bulk,1,0,1.0439048503958888,14.810478957727996,1.0000003801018789,1.0952123624877554,
0.05,SZ3,SPERR,mp-1223939,dev_bulk,1,1,2.5054421538841587,23.746135469364816,0.9999738394084169,0.9615737557872097,0.0
0.05,SZ3,SPERR,mp-1226636,dev_bulk,3,3,0.9796181778502128,10.714100800906072,0.999959647950549,1.024289764092901,0.0
0.05,SZ3,SPERR,mp-1228245,dev_bulk,1,1,2.004603722778526,8.954767357973848,0.999993578529314,1.0958298013824126,-100.0
0.05,SZ3,SPERR,mp-12406,dev_bulk,3,3,0.683524313636344,13.772740193291641,1.000005019678429,0.9953975231066182,33.333333333333336
0.05,SZ3,SPERR,mp-1245841,dev_bulk,1,1,0.5562255313510538,8.276635465384793,1.0000046583841609,1.0365176229262554,0.0
0.05,SZ3,SPERR,mp-1246480,dev_bulk,1,1,1.4287736804000077,14.626923076923077,0.999927188754193,0.9696015668552979,0.0
0.05,SZ3,SPERR,mp-1246536,dev_bulk,1,1,1.358483022395974,6.983031874153066,1.0000236189322846,1.1158612108120387,0.0
0.05,SZ3,SPERR,mp-1246548,dev_bulk,2,2,1.6977744608108867,9.087949437646593,0.9999083862175254,0.9948724595391661,50.0
0.05,SZ3,SPERR,mp-1369222,dev_bulk,4,4,0.7743600719958782,8.900697716691058,1.0000066039497708,1.0177194656507096,0.0
0.05,SZ3,SPERR,mp-1399089,dev_bulk,1,1,0.5599540932792411,8.136562902928718,1.0000022235466286,1.05261702099653,0.0
0.05,SZ3,SPERR,mp-17103,dev_bulk,2,2,0.5901620674320909,14.00018759578295,1.0000171169418715,0.9900680690970035,0.0
0.05,SZ3,SPERR,mp-1841520,dev_bulk,2,2,0.89465480374471,15.021923371189304,1.000019402146227,0.9858207762442093,0.0
0.05,SZ3,SPERR,mp-20888,dev_bulk,1,1,0.32084838369527835,5.475128690927289,1.0000167163960274,1.089901273855875,0.0
0.05,SZ3,SPERR,mp-21054,dev_bulk,2,2,1.5388999833578216,17.433384364756563,0.9999368460011517,0.9649608387886912,0.0
0.05,SZ3,SPERR,mp-21079,dev_bulk,2,2,0.45936272178191223,5.777826084736571,1.000046916261795,1.093445185422062,0.0
0.05,SZ3,SPERR,mp-2216496,dev_bulk,1,1,0.8703536653168399,16.677039797237192,0.9999994418957514,0.9596688163838848,0.0
0.05,SZ3,SPERR,mp-2217743,dev_bulk,1,1,1.2007985039589641,5.2022286998892096,1.0000214444610755,1.0735727461234723,0.0
0.05,SZ3,SPERR,mp-2229431,dev_bulk,4,4,0.688001056257657,9.057680309874582,1.0000022455659165,0.9732079706054311,50.0
0.05,SZ3,SPERR,mp-2230770,dev_bulk,2,2,1.5284173654419781,12.006943858523702,1.000023921170034,1.003018650396892,0.0
0.05,SZ3,SPERR,mp-2233790,dev_bulk,1,1,162.66017464498674,4.661995846108199,1.0000105986124206,1.0839130400174175,-100.0
0.05,SZ3,SPERR,mp-2240057,dev_bulk,4,4,0.3851719889269961,7.145900489838262,1.0000154646658694,0.9312371378413612,25.0
