caliper_dex,primary,codec_a,codec_b,n_materials,n_matched_row_pairs,n_materials_with_joint_eligibility,n_jointly_eligible_cert_pairs,error_ratio,error_ratio_ci_low,error_ratio_ci_high,fraction_materials_error_ratio_lt_1,compression_ratio_effect,compression_ratio_ci_low,compression_ratio_ci_high,matched_linf_ratio,matched_linf_ratio_ci_low,matched_linf_ratio_ci_high,matched_rmse_ratio,matched_rmse_ratio_ci_low,matched_rmse_ratio_ci_high,certification_difference_pp,certification_difference_pp_ci_low,certification_difference_pp_ci_high
0.05,False,ZFP,SZ3,0,0,0,0,,,,,,,,,,,,,,,,
0.05,False,ZFP,SPERR,18,19,16,17,1.1568682891841613,0.7679772772059745,1.7900513554753852,0.4444444444444444,0.2043073230649793,0.19798555813606625,0.2355194947874978,1.014503934521029,0.9840963236776407,1.053367144821858,1.0312414076625436,0.9989484146907864,1.0766889870865797,6.25,0.0,18.75
0.05,False,SZ3,SPERR,165,427,154,403,0.9225461109142987,0.8729419353092168,0.9873490948287855,0.6121212121212121,8.328140567375451,7.8939411140256,9.80501624582273,1.0000075053302917,1.0000065679176726,1.0000081506967586,1.0255196102023159,1.010884669741252,1.036559372036087,4.433364254792827,0.8186456400742116,7.962816944959793
0.1,True,ZFP,SZ3,0,0,0,0,,,,,,,,,,,,,,,,
0.1,True,ZFP,SPERR,48,70,46,68,1.3034426791779197,1.0929952194293047,1.4506609824800436,0.2708333333333333,0.2308538720774933,0.2114818449460255,0.2584935537066187,1.0739013065586114,1.0357513136465506,1.138083376615135,1.0048676345971994,0.986037423558443,1.0327528117426072,-3.623188405797101,-13.043478260869565,4.710144927536232
0.1,True,SZ3,SPERR,185,822,170,769,0.9104848759253603,0.8738715550221106,0.9401136749359773,0.6702702702702703,6.071471309306521,5.788187595433677,6.383144857296713,1.000008405246952,1.0000077676163555,1.0000089865551525,1.1159223360766088,1.1014364749787566,1.1274809314643643,3.708916900093371,0.9633636788048552,6.26688842203548
0.2,False,ZFP,SZ3,8,8,7,7,0.7062657955465891,0.47096714697335984,0.9233034857314258,0.875,0.3012373491775208,0.19022547828727607,0.3392857142857143,1.5168462047444933,1.4447131011760388,1.5477203028488304,0.6467935254089977,0.6333759913756812,0.6560843915694873,14.285714285714286,0.0,42.857142857142854
0.2,False,ZFP,SPERR,87,254,83,242,1.0383166992131945,0.8876148262384684,1.179124884246938,0.47126436781609193,0.3691335124612449,0.32306832388626366,0.4371402460537245,1.3548887416175093,1.2960545719546472,1.3897364313651608,0.883641961228618,0.8022467540227303,0.9347653854414687,-0.40447504302925985,-6.15619621342513,5.195137693631668
0.2,False,SZ3,SPERR,214,1480,193,1401,0.9537280039542565,0.921491368040864,0.9934901126433173,0.5700934579439252,3.8919076342570627,3.6994494709792236,4.1871114698195555,1.0000087126353288,1.0000079398833628,1.0000092405774013,1.2626161576535877,1.2271578202570133,1.2817110938211218,2.447233250342059,0.8186766816948163,4.0423722794189105
0.3,False,ZFP,SZ3,185,335,171,314,0.7376919865425587,0.6928164365399273,0.8030720325088051,0.7675675675675676,0.5127344401431249,0.4623090021483047,0.5406873693378846,1.6642601300252002,1.6337318738034319,1.702478119910523,0.5450936823654643,0.5409195148872616,0.5493942913491814,6.140350877192983,2.875243664717349,9.7953216374269
0.3,False,ZFP,SPERR,219,945,206,910,0.7976375660746389,0.7403063553868338,0.8491358267258645,0.726027397260274,2.268225928995718,2.179239725391966,2.3836338568450923,1.5615061364780802,1.5271890109153885,1.6000493946312346,0.6055342974328678,0.594969962523341,0.6180259842347291,3.72746185852982,1.3607547387887193,6.094775774387422
0.3,False,SZ3,SPERR,251,1644,226,1555,0.9855205530227334,0.9491000462765101,1.0379880571576325,0.5099601593625498,3.590628552103785,3.355453753540054,3.8231636819925874,1.0000096243289465,1.000008837179293,1.0000103174378985,1.2853150822396844,1.26701491578108,1.2955068480877399,0.27573458989388194,-1.9685923712472384,2.287538389584849
