material,domain,selection_role,sentinel,solver,n_noise_success,max_noise_response_e
mp-631399,bulk,low,False,baderkit_ongrid,5,2.6100000383166844e-08
mp-631399,bulk,low,False,henkelman_ongrid,5,0.0
mp-631399,bulk,low,False,henkelman_neargrid,5,0.00011699999999947863
mp-214,bulk,low,False,baderkit_ongrid,5,3.140000082169081e-08
mp-214,bulk,low,False,henkelman_ongrid,5,0.0
mp-214,bulk,low,False,henkelman_neargrid,5,6.30000000008124e-05
mp-1178256,bulk,median,False,baderkit_ongrid,5,0.00066527989999976
mp-1178256,bulk,median,False,henkelman_ongrid,5,0.0006649999999996936
mp-1178256,bulk,median,False,henkelman_neargrid,5,1.3000000000040757e-05
mp-1261118,bulk,median,False,baderkit_ongrid,5,0.0006804671999987022
mp-1261118,bulk,median,False,henkelman_ongrid,5,0.0006800000000026785
mp-1261118,bulk,median,False,henkelman_neargrid,5,0.00018199999999879424
mp-30772,bulk,high,False,baderkit_ongrid,5,0.20419945460000033
mp-30772,bulk,high,False,henkelman_ongrid,5,0.002739000000000047
mp-30772,bulk,high,False,henkelman_neargrid,5,0.0006599999999998829
mp-1079749,bulk,high,False,baderkit_ongrid,5,2.9133035984
mp-1079749,bulk,high,False,henkelman_ongrid,5,0.16476100000000038
mp-1079749,bulk,high,False,henkelman_neargrid,5,0.18960600000000039
nomad-FPTBoTAPMQA8,slab,low,False,baderkit_ongrid,5,4.9961100000217584e-05
nomad-FPTBoTAPMQA8,slab,low,False,henkelman_ongrid,5,4.999999999988347e-05
nomad-FPTBoTAPMQA8,slab,low,False,henkelman_neargrid,5,5.600000000072214e-05
nomad-ZvTQv6REajO4,slab,low,False,baderkit_ongrid,5,6.672039999955359e-05
nomad-ZvTQv6REajO4,slab,low,False,henkelman_ongrid,5,6.600000000034356e-05
nomad-ZvTQv6REajO4,slab,low,False,henkelman_neargrid,5,5.9000000000253294e-05
nomad-0kvBRPSc8RU6,slab,median,False,baderkit_ongrid,5,0.0007944264000006029
nomad-0kvBRPSc8RU6,slab,median,False,henkelman_ongrid,5,0.0007950000000001012
nomad-0kvBRPSc8RU6,slab,median,False,henkelman_neargrid,5,0.0002949999999994901
nomad-3Rqsfa2-hyu7,slab,median,False,baderkit_ongrid,5,0.0008083617999989912
nomad-3Rqsfa2-hyu7,slab,median,False,henkelman_ongrid,5,0.0008079999999992538
nomad-3Rqsfa2-hyu7,slab,median,False,henkelman_neargrid,5,0.0004170000000005558
nomad-9jQMkfdCbgX_,slab,high,False,baderkit_ongrid,5,0.01942890900000016
nomad-9jQMkfdCbgX_,slab,high,False,henkelman_ongrid,5,0.019429000000000585
nomad-9jQMkfdCbgX_,slab,high,False,henkelman_neargrid,5,0.031929999999999126
nomad-8tU1rEspJ26T,slab,high,False,baderkit_ongrid,5,0.022748339599999667
nomad-8tU1rEspJ26T,slab,high,False,henkelman_ongrid,5,0.022811000000000803
nomad-8tU1rEspJ26T,slab,high,False,henkelman_neargrid,5,0.010562999999999434
mp-1007755,bulk,known_probe_sentinel,True,baderkit_ongrid,5,0.0017092764999997456
mp-1007755,bulk,known_probe_sentinel,True,henkelman_ongrid,5,0.0017089999999999606
mp-1007755,bulk,known_probe_sentinel,True,henkelman_neargrid,5,0.010153000000000745
