material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
mp-631399,bulk,False,baderkit_ongrid,zfp,global,0.0001977131000003851,0.0005346513000006325,0.00033693820000024743,2.704177416668856,2.6909565646053032e-12,0.0
mp-631399,bulk,False,baderkit_ongrid,zfp,shift,0.0001977131000003851,0.00032349239999973634,0.00012577929999935122,1.6361707949503914,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,zfp,stratified,0.0001977131000003851,0.0003801643000000965,0.00018245119999971138,1.9228078463154743,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sz3,global,0.0027671117000007683,0.005161584400000585,0.0023944726999998167,1.8653328667574756,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sz3,shift,0.0027671117000007683,0.003817843200000226,0.0010507314999994577,1.3797213896349634,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sz3,stratified,0.0027671117000007683,0.003894948700000178,0.0011278369999994098,1.4075863652338634,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sperr,global,0.002606498599999618,0.0023654886000006314,-0.00024100999999898676,0.9075349589679342,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sperr,shift,0.002606498599999618,0.0021463443999998333,-0.0004601541999997849,0.8234588731412124,0.0,0.0
mp-631399,bulk,False,baderkit_ongrid,sperr,stratified,0.002606498599999618,0.0013504590000001926,-0.0012560395999994256,0.5181123059112291,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,zfp,global,0.0001980000000001425,0.0005350000000001742,0.0003370000000000317,2.702020202019137,2.6909565646053032e-12,0.0
mp-631399,bulk,False,henkelman_ongrid,zfp,shift,0.0001980000000001425,0.00032399999999999096,0.00012599999999984846,1.636363636362413,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,zfp,stratified,0.0001980000000001425,0.0003809999999999647,0.0001829999999998222,1.9242424242408611,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,sz3,global,0.002767000000000408,0.005162000000000333,0.002394999999999925,1.8655583664617172,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,sz3,shift,0.002767000000000408,0.0038180000000007652,0.0010510000000003572,1.3798337549693538,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,sz3,stratified,0.002767000000000408,0.003894999999999982,0.0011279999999995738,1.4076617275024963,0.0,0.0
