material,domain,role,sentinel,solver,noise_seeds_complete,probe_response_max_e,f32_response_e,failures,eligible_0.0001,eligible_0.001,eligible_0.01
mp-1007755,bulk,known_probe_sentinel,True,baderkit_ongrid,5,0.0017092764999997456,6.000000496442226e-10,0,False,False,True
mp-1007755,bulk,known_probe_sentinel,True,henkelman_ongrid,5,0.0017089999999999606,0.0,0,False,False,True
mp-1007755,bulk,known_probe_sentinel,True,henkelman_neargrid,5,0.010153000000000745,0.0,0,False,False,False
mp-1079749,bulk,high,False,baderkit_ongrid,5,2.9133035984,3.80000031441341e-09,0,False,False,False
mp-1079749,bulk,high,False,henkelman_ongrid,5,0.16476100000000038,0.0,0,False,False,False
mp-1079749,bulk,high,False,henkelman_neargrid,5,0.18960600000000039,0.0,0,False,False,False
mp-1178256,bulk,median,False,baderkit_ongrid,5,0.00066527989999976,4.800000397153781e-09,0,False,True,True
mp-1178256,bulk,median,False,henkelman_ongrid,5,0.0006649999999996936,0.0,0,False,True,True
mp-1178256,bulk,median,False,henkelman_neargrid,5,1.3000000000040757e-05,0.0,0,True,True,True
mp-1261118,bulk,median,False,baderkit_ongrid,5,0.0006804671999987022,7.274349999875085e-05,0,False,True,True
mp-1261118,bulk,median,False,henkelman_ongrid,5,0.0006800000000026785,7.300000000043383e-05,0,False,True,True
mp-1261118,bulk,median,False,henkelman_neargrid,5,0.00018199999999879424,0.0,0,False,True,True
mp-214,bulk,low,False,baderkit_ongrid,5,3.140000082169081e-08,1.379999936546028e-08,0,True,True,True
mp-214,bulk,low,False,henkelman_ongrid,5,0.0,0.0,0,True,True,True
mp-214,bulk,low,False,henkelman_neargrid,5,6.30000000008124e-05,0.0,0,True,True,True
mp-30772,bulk,high,False,baderkit_ongrid,5,0.20419945460000033,5.400000446798003e-09,0,False,False,False
mp-30772,bulk,high,False,henkelman_ongrid,5,0.002739000000000047,0.0,0,False,False,True
mp-30772,bulk,high,False,henkelman_neargrid,5,0.0006599999999998829,0.0,0,False,True,True
mp-631399,bulk,low,False,baderkit_ongrid,5,2.6100000383166844e-08,3.000000248221113e-09,0,True,True,True
mp-631399,bulk,low,False,henkelman_ongrid,5,0.0,0.0,0,True,True,True
mp-631399,bulk,low,False,henkelman_neargrid,5,0.00011699999999947863,0.0,0,False,True,True
nomad-0kvBRPSc8RU6,slab,median,False,baderkit_ongrid,5,0.0007944264000006029,5.221229999996524e-05,1,False,True,True
nomad-0kvBRPSc8RU6,slab,median,False,henkelman_ongrid,5,0.0007950000000001012,5.200000000016303e-05,0,False,True,True
nomad-0kvBRPSc8RU6,slab,median,False,henkelman_neargrid,5,0.0002949999999994901,1.9999999999242846e-05,0,False,True,True
nomad-3Rqsfa2-hyu7,slab,median,False,baderkit_ongrid,5,0.0008083617999989912,3.900000322687447e-09,1,False,True,True
nomad-3Rqsfa2-hyu7,slab,median,False,henkelman_ongrid,5,0.0008079999999992538,0.0,0,False,True,True
nomad-3Rqsfa2-hyu7,slab,median,False,henkelman_neargrid,5,0.0004170000000005558,2.9999999995311555e-06,0,False,True,True
nomad-8tU1rEspJ26T,slab,high,False,baderkit_ongrid,5,0.022748339599999667,0.006708389699999984,0,False,False,False
nomad-8tU1rEspJ26T,slab,high,False,henkelman_ongrid,5,0.022811000000000803,0.006707999999999714,0,False,False,False
nomad-8tU1rEspJ26T,slab,high,False,henkelman_neargrid,5,0.010562999999999434,0.003434000000000381,0,False,False,False
nomad-9jQMkfdCbgX_,slab,high,False,baderkit_ongrid,5,0.01942890900000016,0.001143648699999389,0,False,False,False
nomad-9jQMkfdCbgX_,slab,high,False,henkelman_ongrid,5,0.019429000000000585,0.0011439999999982575,0,False,False,False
nomad-9jQMkfdCbgX_,slab,high,False,henkelman_neargrid,5,0.031929999999999126,0.00666000000000011,0,False,False,False
nomad-FPTBoTAPMQA8,slab,low,False,baderkit_ongrid,5,4.9961100000217584e-05,1.000000082740371e-08,0,True,True,True
nomad-FPTBoTAPMQA8,slab,low,False,henkelman_ongrid,5,4.999999999988347e-05,0.0,0,True,True,True
nomad-FPTBoTAPMQA8,slab,low,False,henkelman_neargrid,5,5.600000000072214e-05,0.0,0,True,True,True
nomad-ZvTQv6REajO4,slab,low,False,baderkit_ongrid,5,6.672039999955359e-05,3.00630000005242e-06,0,True,True,True
nomad-ZvTQv6REajO4,slab,low,False,henkelman_ongrid,5,6.600000000034356e-05,2.9999999995311555e-06,0,True,True,True
nomad-ZvTQv6REajO4,slab,low,False,henkelman_neargrid,5,5.9000000000253294e-05,0.0,0,True,True,True
