caliper_dex,codec_a,codec_b,material_id,corpus,pair_index,tol_a,tol_b,d_log10_linf,linf_a,linf_b,rmse_a,rmse_b,error_a,error_b,error_ratio_a_over_b,rmse_ratio_a_over_b,linf_ratio_a_over_b,compression_ratio_a_over_b,shape_factor_ratio_a_over_b
0.05,ZFP,SZ3,mp-1025517,dev_bulk,0,0.01,0.001,0.034866703173674185,1.275597810000022,1.3822304883614294,0.198759415354648,0.6089179355332162,0.0241645902351788,0.0268169053058162,0.9010954082735956,0.32641412537897857,0.9228546329579118,0.306285726658583,0.3537004786255054
0.05,ZFP,SZ3,mp-1041800,dev_bulk,0,0.03,0.003,0.0032640169479287717,20.77733809999995,20.62176768351942,2.613253844075073,8.685379503953003,0.0232201651416463,0.1066679934437955,0.2176863405036418,0.30087963834921605,1.0075439903536914,0.19737339380196522,0.29862680064579056
0.05,ZFP,SZ3,mp-1044463,dev_bulk,0,0.1,0.01,0.0027561243305276317,18.86503058,18.745688205699025,2.281485242245034,7.594911047949193,0.0790106526570424,0.1582001853228014,0.4994346403313258,0.300396571841495,1.0063663906596234,0.1813844847112118,0.29849622824208183
0.05,ZFP,SZ3,mp-1046632,dev_bulk,0,0.003,0.0003,0.036430944042073504,0.7313426850000013,0.6724964216915623,0.1110948900799502,0.2597744313300908,0.0051625486633772,0.0030360680189307,1.7004061276583138,0.4276590637158738,1.0875042028631472,0.3638122713200112,0.3932481939747418
0.05,ZFP,SZ3,mp-1077125,dev_bulk,0,0.1,0.01,0.006754615144169557,0.6525615299999998,0.6627902066648446,0.0970724104912715,0.2820097420174035,0.0163361055342239,0.0388349508245429,0.4206547243494851,0.3442165146382813,0.9845672483359171,0.18583631854505375,0.3496119896533879
0.05,ZFP,SZ3,mp-1077125,dev_bulk,1,0.03,0.003,0.008328786223026463,0.1950597035000001,0.1988366080712573,0.0288785518911573,0.0885844838851346,0.0092709970028508,0.022093602741493,0.419623594726783,0.32600011451896516,0.9810049839016382,0.26030904311635206,0.332312393788666
0.05,ZFP,SZ3,mp-1077596,dev_bulk,0,0.03,0.003,0.03893548731287244,4.461924699999997,4.07931037074983,0.6635473233795696,1.7483519687702704,0.0559553426406544,0.1131446327895311,0.49454703472095907,0.3795273121385767,1.093793875551528,0.2129764909018462,0.3469824805402263
0.05,ZFP,SZ3,mp-1077596,dev_bulk,1,0.01,0.001,0.043287454544582604,1.5022931660000012,1.3597755787454702,0.2015332038028366,0.4573406593227478,0.0150711466171582,0.0247350993475379,0.6093020450576182,0.44066321175396195,1.1048096387979094,0.20383222691611344,0.3988589493421025
0.05,ZFP,SZ3,mp-1078524,dev_bulk,0,0.003,0.0003,0.02054538014462448,1.5365848529999937,1.4655855271785754,0.201157324048749,0.5213971803399882,0.0321532187083626,0.0575036909108455,0.5591505205850766,0.3858043956386187,1.0484443415309241,0.4095882281331791,0.367977946330725
0.05,ZFP,SZ3,mp-1097014,dev_bulk,0,0.003,0.0003,0.0005433509993398311,2.787568110000052,2.7840827310881195,0.3728778813622977,0.9281239801039072,0.0066671803845874,0.0104551819121114,0.637691475923921,0.40175438772797634,1.001251894878343,0.21293404730185642,0.40125206232622557
0.05,ZFP,SZ3,mp-1097014,dev_bulk,1,0.01,0.001,0.021968994962092148,9.761668809999946,9.280151667379386,1.2407568930036634,2.7232759176969883,0.0687495580690722,0.0319507944384938,2.151732352114658,0.45561189189119805,1.0518867751173873,0.146951442132165,0.4331377698330252
0.05,ZFP,SZ3,mp-1103974,dev_bulk,0,0.001,0.0001,0.017179026276119336,0.1959824139999995,0.188381424441701,0.0316361587775498,0.0927439297364885,0.0011915943965981,0.0045111233607322,0.2641458238474535,0.3411129856955274,1.0403489334515081,0.4387026506961859,0.3278832464064107
0.05,ZFP,SZ3,mp-1104614,dev_bulk,0,0.03,0.003,0.03647022540586331,18.67533592000001,20.311343354050564,2.2430975391993973,5.72885665316051,0.0800841636960107,0.1252802587071535,0.6392400887613898,0.39154366656423834,0.9194535090302486,0.14214888264022496,0.42584389827083385
0.05,ZFP,SZ3,mp-1105871,dev_bulk,0,0.001,0.0001,0.025277219803352624,0.3852077599999859,0.3634275175540438,0.0580974703748049,0.1716408812910397,0.0155908938336235,0.0195825141828764,0.796164051664862,0.3384827084189401,1.0599300861765462,0.38133929698125374,0.3193443726462549
0.05,ZFP,SZ3,mp-1111338,dev_bulk,0,0.03,0.003,0.009670721252844183,5.625353500000074,5.752022022936615,0.6486145820280893,1.6911867636534426,0.0484652260396378,0.0616694081981936,0.785887646008859,0.38352628814744155,0.9779784356820191,0.18369479495268137,0.3921623158080979
0.05,ZFP,SZ3,mp-1114492,dev_bulk,0,0.03,0.003,0.007330685017760685,5.014156099999994,4.930229832006577,0.5970042619165644,1.3530545468418531,0.0384223116273902,0.0493001090742524,0.7793555095288164,0.44122704684007324,1.0170227901848663,0.09144011655075732,0.43384184808667914
0.05,ZFP,SZ3,mp-11306,dev_bulk,0,0.001,0.0001,0.04088539782981615,0.1997203330000019,0.1817761427984976,0.0305214045512083,0.0872654767844923,0.0031359570170383,0.0091977298267309,0.3409490250435956,0.3497534841479508,1.0987158706596374,0.4291122033776241,0.318329327433824
0.05,ZFP,SZ3,mp-11419,dev_bulk,0,0.003,0.0003,0.01980605583080014,0.3259050740000013,0.3411121414651497,0.0496219920333789,0.1245625208516054,0.0588991242565537,0.0370856326045885,1.58819251877252,0.3983701653926455,0.955419155120569,0.33938436205248057,0.4169585288902579
0.05,ZFP,SZ3,mp-1173587,dev_bulk,0,0.03,0.003,0.027840455914772688,40.5466707999999,38.02898595762228,4.586962623166819,10.57565079654876,0.1886322611797615,0.0891297502742318,2.116378208167119,0.43372863868233247,1.0662043643546848,0.13835567988167585,0.40679690796880646
0.05,ZFP,SZ3,mp-1174037,dev_bulk,0,0.003,0.0003,0.02955773512745169,0.3941900050000129,0.3682543393427693,0.0633278617505021,0.1800559435628609,0.0045250309477129,0.0089360585795414,0.5063788366464721,0.3517121428895968,1.0704286762880553,0.4905648851570482,0.32857130108774296
0.05,ZFP,SZ3,mp-1174037,dev_bulk,1,0.01,0.001,0.03636090938827917,1.3347124189999988,1.2275149554056668,0.2185542086045422,0.56239280016756,0.0123511403343394,0.0117836252541598,1.0481613313338574,0.3886148765407841,1.0873288452594907,0.3797857190170233,0.3574032623479618
0.05,ZFP,SZ3,mp-1175263,dev_bulk,0,0.1,0.01,0.01035993994825124,38.60436156,37.69436525611172,4.519987590169655,15.812490098725227,0.1845335588121734,0.3027584594921699,0.6095075233296525,0.28584919654963437,1.0241414412394365,0.1990771349862259,0.2791110534534116
0.05,ZFP,SZ3,mp-1175263,dev_bulk,1,0.03,0.003,0.020340310284103102,10.790976669999964,11.308397447090684,1.4261506040966792,3.5871821276186973,0.0224644476339701,0.044539108811076,0.504375777460182,0.3975684962066339,0.9542445532612724,0.2131707402725102,0.4166316641241331
0.05,ZFP,SZ3,mp-1177023,dev_bulk,0,0.003,0.0003,0.005294284134510871,0.769204650000006,0.7786390582714091,0.122564941001987,0.3725316534557088,0.004426558225969,0.0112622516078388,0.3930438051027033,0.32900544118879566,0.9878834638833202,0.43004079172390586,0.33304074135980755
0.05,ZFP,SZ3,mp-1177023,dev_bulk,1,0.01,0.001,0.00816245589625536,2.547132959999999,2.5954583950132246,0.420628779547115,1.1803001615896664,0.0152709284432255,0.0222190701004318,0.6872892688217734,0.3563744149459393,0.981380770693117,0.3524494556765163,0.3631357222276158
0.05,ZFP,SZ3,mp-1178256,dev_bulk,0,0.03,0.003,0.020870263021514956,19.437876510000024,20.39478266779429,2.66176567787204,6.379115263519669,0.0243122588963622,0.0687589166133992,0.3535869977861812,0.41726251492803634,0.9530808357519136,0.19941604343817235,0.4378039084154342
0.05,ZFP,SZ3,mp-1178447,dev_bulk,0,0.01,0.001,0.04542820151729132,5.499157230000009,6.105543623419635,0.7904266220990142,2.697145045761455,0.0067886186393657,0.0276325774101948,0.24567446382548078,0.29306048013293323,0.900682653204925,0.3272727272727273,0.32537595688129184
0.05,ZFP,SZ3,mp-1184653,dev_bulk,0,0.003,0.0003,0.03782296454971379,0.1904931949999877,0.1746049297946754,0.0299638766073863,0.0852543349278077,0.0117637178683267,0.0138889186209496,0.8469858733697729,0.35146455171762625,1.0909955132652664,0.4001967915504185,0.3221503181674136
0.05,ZFP,SZ3,mp-1184653,dev_bulk,1,0.01,0.001,0.043158128785186295,0.6428194519999977,0.582010582630339,0.1036664848703814,0.2118735689693614,0.0223341937012708,0.0437646383328687,0.5103251061141999,0.48928464921158893,1.104480693623884,0.26411719380641374,0.44299973013218485
0.05,ZFP,SZ3,mp-1187017,dev_bulk,0,0.001,0.0001,0.024764002308271138,0.2031196850000043,0.1918615779859465,0.0293208876976972,0.0758790827461187,0.0035980230692835,0.0049703502063156,0.7238972949454656,0.38641594806570057,1.0586782780181367,0.33822308604559226,0.3649984665682171
0.05,ZFP,SZ3,mp-1187279,dev_bulk,0,0.01,0.001,0.03879164811850719,0.5650045110000015,0.6177938253615594,0.0905102903433861,0.2064642779736139,0.0690719680197489,0.0397737698298872,1.7366211026807459,0.4383823256580652,0.914551890623602,0.22402890695573624,0.4793411179316978
0.05,ZFP,SZ3,mp-1187638,dev_bulk,0,0.01,0.001,0.004996367621465658,1.3185622999999396,1.3338193759155494,0.1676946309390543,0.4046804091180947,0.037532653043538,0.0537085788950957,0.698820445740098,0.4143878160657816,0.9885613628118596,0.1790939122227466,0.4191826948274599
0.05,ZFP,SZ3,mp-1188002,dev_bulk,0,0.003,0.0003,0.038881780117679066,0.1928812650000111,0.1763633199298819,0.0300190481663209,0.0845047486854189,0.0140136619623945,0.0110336209857155,1.2700873068358123,0.35523504457804056,1.0936586194719875,0.4091757246376812,0.32481346395783556
0.05,ZFP,SZ3,mp-1193567,dev_bulk,0,0.003,0.0003,0.027765555584801982,1.4476845899999944,1.358026973034839,0.2187458329762873,0.5082067403845579,0.004572438002329,0.0086593560205887,0.5280344163535323,0.43042686291559856,1.0660204979322272,0.3396080078514871,0.40376978092869953
0.05,ZFP,SZ3,mp-1194734,dev_bulk,0,0.03,0.003,0.002892384590868824,19.864233400000103,19.732377931059705,2.4241469456665654,5.730366581409386,0.1738763995650156,0.0570343557691765,3.048625643615754,0.42303523015980343,1.006682188502626,0.17911532454009027,0.42022719284329524
0.05,ZFP,SZ3,mp-1197354,dev_bulk,0,0.003,0.0003,0.019027737000658296,1.3439242599999943,1.2863141785419998,0.224494564409098,0.5968295095332625,0.0064815337348909,0.0095470452689516,0.678904682265392,0.37614521538095375,1.0447869442932627,0.33682539376158127,0.3600209759851029
0.05,ZFP,SZ3,mp-1197354,dev_bulk,1,0.1,0.01,0.04639127199813586,38.53307960000007,42.877059277187584,4.584425446893877,11.767377639619124,0.0255118983059539,0.1197079214070395,0.21311787896814702,0.38958768786842995,0.8986875557601802,0.08134127182490092,0.43350738014713713
0.05,ZFP,SZ3,mp-1199510,dev_bulk,0,0.01,0.001,0.03203442278156965,20.388599750000022,21.949358053042488,2.9118571202318413,7.3715786045834735,0.0513592753835041,0.1028011689885204,0.4995981649706657,0.39501133697758,0.9288927585366843,0.28412681485694424,0.42524966778711304
0.05,ZFP,SZ3,mp-1199510,dev_bulk,1,0.0001,3e-05,0.04570644069063179,0.5927010862499742,0.6584793558952242,0.0683007459716011,0.3204661739351157,0.0155181435442237,0.0217552873890589,0.7133044609664884,0.21312934570570263,0.9001057982207774,0.4820250265188543,0.23678254948139596
0.05,ZFP,SZ3,mp-1211145,dev_bulk,0,0.01,0.001,0.015559959212415542,2.6054452399999946,2.513749461635712,0.407338130717012,0.8900492080868135,0.013486225237095,0.0186006035928265,0.7250423444482248,0.45765798903702987,1.0364776918956018,0.2838249539105709,0.4415512196890842
0.05,ZFP,SZ3,mp-1211145,dev_bulk,1,0.003,0.0003,0.021933508327627943,0.7931985499999996,0.7541337950585785,0.1182302537342634,0.302340774052618,0.0036883993481424,0.0085017354822536,0.4338407559070159,0.3910496495377998,1.051800827913284,0.37212922188744446,0.3717905892065337
0.05,ZFP,SZ3,mp-1211797,dev_bulk,0,0.003,0.0003,0.019687099930850493,2.8270530499999893,2.958155898243888,0.3913222254015402,0.990231771611547,0.0173774921436358,0.0296471320396314,0.5861441208008278,0.3951824579054711,0.9556808860811805,0.24077856778096401,0.413508801589553
0.05,ZFP,SZ3,mp-1211797,dev_bulk,1,0.01,0.001,0.02287532817235316,10.393807919999972,9.860509560826811,1.3124777810534205,2.960174571423197,0.028315695707251,0.1187661090447935,0.23841562155220164,0.4433785067015171,1.0540842596301325,0.17414726382915616,0.4206290935955102
0.05,ZFP,SZ3,mp-1213918,dev_bulk,0,0.01,0.001,0.008187362601693837,2.9390308600000026,2.8841429606876545,0.3318009147219204,0.8911503682379485,0.0694931238719327,0.0502523928760725,1.3828818867055703,0.37232876352616323,1.0190309218580695,0.1814590224182286,0.36537533409415135
0.05,ZFP,SZ3,mp-1215324,dev_bulk,0,0.01,0.001,0.028347652772399035,2.341414541000006,2.1934647444032223,0.3792262776893816,0.9708263419167928,0.0773145306160589,0.0970034597428775,0.7970285886811964,0.3906221548754434,1.0674502733514581,0.33914379645511716,0.3659394396415419
0.05,ZFP,SZ3,mp-1219705,dev_bulk,0,0.001,0.0001,0.003985183521035829,0.0393511145000005,0.0389916715388469,0.0071065998684861,0.0182127056197455,0.0001648957471491,0.0150695156949769,0.01094233885725103,0.39020011726217124,1.0092184547870815,0.43688852304797743,0.38663593140941244
