caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,material_error_ratio,material_rmse_ratio,material_linf_ratio,material_compression_ratio,material_shape_factor_ratio
0.05,ZFP,SZ3,mp-1025517,dev_bulk,1,0.9010954082735956,0.32641412537897857,0.9228546329579118,0.306285726658583,0.35370047862550547
0.05,ZFP,SZ3,mp-1041800,dev_bulk,1,0.21768634050364177,0.300879638349216,1.0075439903536914,0.19737339380196522,0.29862680064579056
0.05,ZFP,SZ3,mp-1044463,dev_bulk,1,0.4994346403313258,0.300396571841495,1.0063663906596234,0.1813844847112118,0.29849622824208183
0.05,ZFP,SZ3,mp-1046632,dev_bulk,1,1.7004061276583138,0.4276590637158738,1.0875042028631472,0.3638122713200112,0.3932481939747418
0.05,ZFP,SZ3,mp-1077125,dev_bulk,2,0.42013884320583234,0.3349845118679351,0.9827845021182704,0.2199428886250441,0.34085245661273395
0.05,ZFP,SZ3,mp-1077596,dev_bulk,2,0.548933984767441,0.40895442816447614,1.0992879588931415,0.20835419943284728,0.372017563602031
0.05,ZFP,SZ3,mp-1078524,dev_bulk,1,0.5591505205850766,0.3858043956386187,1.0484443415309241,0.4095882281331791,0.367977946330725
0.05,ZFP,SZ3,mp-1097014,dev_bulk,2,1.1713843858500275,0.4278365069373267,1.0262570958506223,0.17689252479979597,0.41689018148294565
0.05,ZFP,SZ3,mp-1103974,dev_bulk,1,0.2641458238474535,0.34111298569552745,1.0403489334515081,0.4387026506961859,0.3278832464064107
0.05,ZFP,SZ3,mp-1104614,dev_bulk,1,0.6392400887613898,0.39154366656423834,0.9194535090302486,0.14214888264022496,0.42584389827083385
0.05,ZFP,SZ3,mp-1105871,dev_bulk,1,0.796164051664862,0.3384827084189401,1.0599300861765462,0.38133929698125374,0.3193443726462549
0.05,ZFP,SZ3,mp-1111338,dev_bulk,1,0.785887646008859,0.38352628814744155,0.9779784356820191,0.18369479495268135,0.3921623158080979
0.05,ZFP,SZ3,mp-1114492,dev_bulk,1,0.7793555095288164,0.44122704684007324,1.0170227901848663,0.0914401165507573,0.43384184808667914
0.05,ZFP,SZ3,mp-11306,dev_bulk,1,0.3409490250435956,0.34975348414795077,1.0987158706596374,0.4291122033776241,0.318329327433824
0.05,ZFP,SZ3,mp-11419,dev_bulk,1,1.58819251877252,0.3983701653926455,0.955419155120569,0.33938436205248057,0.4169585288902579
0.05,ZFP,SZ3,mp-1173587,dev_bulk,1,2.116378208167119,0.43372863868233247,1.0662043643546848,0.13835567988167585,0.40679690796880646
0.05,ZFP,SZ3,mp-1174037,dev_bulk,2,0.7285373810441411,0.3697033553904201,1.078845668536949,0.4316358854797328,0.3426841912354198
0.05,ZFP,SZ3,mp-1175263,dev_bulk,2,0.5544554363943269,0.3371121997408469,0.9885754357012325,0.20600344714675095,0.3410080683440419
0.05,ZFP,SZ3,mp-1177023,dev_bulk,2,0.5197449272710265,0.342416590745378,0.9846267491495438,0.3893168927259499,0.34776283606060365
0.05,ZFP,SZ3,mp-1178256,dev_bulk,1,0.3535869977861812,0.41726251492803634,0.9530808357519136,0.19941604343817235,0.4378039084154342
0.05,ZFP,SZ3,mp-1178447,dev_bulk,1,0.24567446382548075,0.29306048013293323,0.900682653204925,0.3272727272727273,0.32537595688129184
0.05,ZFP,SZ3,mp-1184653,dev_bulk,2,0.6574482152266121,0.41468808747957436,1.0977173958864672,0.32511360099913816,0.37777308534378373
0.05,ZFP,SZ3,mp-1187017,dev_bulk,1,0.7238972949454656,0.38641594806570057,1.0586782780181367,0.3382230860455923,0.3649984665682171
0.05,ZFP,SZ3,mp-1187279,dev_bulk,1,1.7366211026807459,0.4383823256580652,0.914551890623602,0.22402890695573624,0.4793411179316978
0.05,ZFP,SZ3,mp-1187638,dev_bulk,1,0.698820445740098,0.4143878160657816,0.9885613628118596,0.1790939122227466,0.4191826948274599
0.05,ZFP,SZ3,mp-1188002,dev_bulk,1,1.2700873068358123,0.35523504457804056,1.0936586194719875,0.4091757246376812,0.32481346395783556
0.05,ZFP,SZ3,mp-1193567,dev_bulk,1,0.5280344163535323,0.43042686291559856,1.0660204979322272,0.3396080078514871,0.40376978092869953
0.05,ZFP,SZ3,mp-1194734,dev_bulk,1,3.048625643615754,0.42303523015980343,1.006682188502626,0.17911532454009027,0.42022719284329524
0.05,ZFP,SZ3,mp-1197354,dev_bulk,2,0.3803770838338505,0.38280745128985977,0.9689876290526417,0.1655228259530693,0.3950591729061829
0.05,ZFP,SZ3,mp-1199510,dev_bulk,2,0.5969636502872243,0.2901525595206192,0.9143860004856603,0.37007598607061254,0.31731955581834115
0.05,ZFP,SZ3,mp-1211145,dev_bulk,2,0.5608501749843828,0.42304491040680864,1.0441111504286522,0.32499162950910065,0.4051722943798949
0.05,ZFP,SZ3,mp-1211797,dev_bulk,2,0.37382604895846694,0.41858739596500383,1.0036773282522378,0.20477042942709744,0.4170537524185334
0.05,ZFP,SZ3,mp-1213918,dev_bulk,1,1.3828818867055703,0.37232876352616323,1.0190309218580695,0.1814590224182286,0.3653753340941513
0.05,ZFP,SZ3,mp-1215324,dev_bulk,1,0.7970285886811964,0.3906221548754434,1.0674502733514581,0.33914379645511716,0.3659394396415419
0.05,ZFP,SZ3,mp-1219705,dev_bulk,3,1.0037007157667504,0.39020011726217124,1.0092184547870815,0.43688852304797743,0.38663593140941244
0.05,ZFP,SZ3,mp-1223327,dev_bulk,2,0.6684024378440775,0.38923644348909264,0.9009966330312856,0.15563495172336156,0.43200654610612405
0.05,ZFP,SZ3,mp-1223939,dev_bulk,2,0.5458086259824183,0.36249126473382154,1.1124976101644475,0.3356699104428544,0.32583554465365433
0.05,ZFP,SZ3,mp-1225264,dev_bulk,2,0.6497245708625241,0.3512635588081308,0.9837122944419875,0.23117180915953725,0.35707956563395976
0.05,ZFP,SZ3,mp-1226636,dev_bulk,2,0.7828945036022306,0.4752560160157076,1.0355542877816102,0.2670964054781704,0.4589387747443089
0.05,ZFP,SZ3,mp-1228245,dev_bulk,1,0.5052401564387015,0.4231958358128701,0.9209022338886468,0.25794393536451404,0.45954480317184454
0.05,ZFP,SZ3,mp-12406,dev_bulk,2,0.8372081543316593,0.4542051289167308,1.0178491128965441,0.25355050179692584,0.4462401383090826
0.05,ZFP,SZ3,mp-1245841,dev_bulk,1,0.5766710824973693,0.4084798831676398,0.9493000331891551,0.22864811943122978,0.4302958694685384
0.05,ZFP,SZ3,mp-1246480,dev_bulk,1,0.470003749628184,0.4863414617783157,1.0796536327864823,0.20711630377057885,0.4504606357162113
0.05,ZFP,SZ3,mp-1246548,dev_bulk,1,0.2866949921799962,0.3269102017154321,0.8980380005757758,0.35415095762328475,0.36402713638602613
0.05,ZFP,SZ3,mp-1247173,dev_bulk,1,0.3054938575819158,0.4309117681656878,1.0373081910591468,0.219272259465584,0.41541344402737623
0.05,ZFP,SZ3,mp-1369222,dev_bulk,2,0.874469997822625,0.4064820678993586,1.0746209939048745,0.2975408002269319,0.37825621331137
0.05,ZFP,SZ3,mp-1399089,dev_bulk,2,0.8461520401751512,0.4204241005111791,1.048525826338623,0.3579715000995854,0.4009668526518511
0.05,ZFP,SZ3,mp-1666665,dev_bulk,1,0.33495211357900406,0.40733219954192695,1.015695395940303,0.18572351421188626,0.40103775321815843
0.05,ZFP,SZ3,mp-17103,dev_bulk,1,0.6032487538073114,0.36128886240592745,1.0976888596612862,0.3505677940395844,0.3291359470637339
0.05,ZFP,SZ3,mp-1778,dev_bulk,1,0.13923192548655322,0.4441455103604546,0.9721844899694756,0.321090367965368,0.4568531126992159
0.05,ZFP,SZ3,mp-1841520,dev_bulk,1,0.5832020469351656,0.40171845716860494,0.9626395349389392,0.15808237242394504,0.41730932772679674
0.05,ZFP,SZ3,mp-19133,dev_bulk,3,0.34758488994216924,0.3327241919838312,1.0503757729346228,0.36752868245743897,0.31676681865408995
0.05,ZFP,SZ3,mp-20888,dev_bulk,1,0.40933587377849184,0.35655215454014444,1.0533363572629546,0.36210469411658713,0.33849790912622496
0.05,ZFP,SZ3,mp-21054,dev_bulk,1,0.5552792558727907,0.4345175592412637,1.0584817960529769,0.18112273517697874,0.4105101862512486
0.05,ZFP,SZ3,mp-214,dev_bulk,3,2.215727787086456,0.3559411737402656,1.0722165246853825,0.4255554627464084,0.3235708604639382
0.05,ZFP,SZ3,mp-2194,dev_bulk,1,0.5752555273651756,0.33332048500517353,1.0924712877425957,0.1863450604122246,0.3051068606973855
0.05,ZFP,SZ3,mp-2227467,dev_bulk,2,0.6327826827207974,0.3432781013543913,1.0568784641116786,0.3588507717030691,0.32480376222153545
0.05,ZFP,SZ3,mp-2230770,dev_bulk,1,1.0026901477732522,0.3671829195081678,1.0901434607394809,0.4408391003460208,0.3368207329878356
0.05,ZFP,SZ3,mp-22490,dev_bulk,1,0.4050735413364247,0.3001521144067053,1.0918682379295748,0.29831809950234567,0.27489774313415377
0.05,ZFP,SZ3,mp-24407,dev_bulk,1,0.2822433686236145,0.4010608783600178,0.9392988678156627,0.15537052365600768,0.42697898624394587
0.05,ZFP,SZ3,mp-26341,dev_bulk,1,0.4616121775039865,0.40416758393485974,0.9426474273947082,0.27785695283700074,0.4287579557204112
0.05,ZFP,SZ3,mp-2647013,dev_bulk,2,0.12625038360816548,0.4672283226522089,0.9490129686105412,0.208967824914426,0.4923308090681651
0.05,ZFP,SZ3,mp-26619,dev_bulk,1,0.20500592638593546,0.313795580070224,0.9258152218882935,0.20092763024983726,0.33893975023461625
0.05,ZFP,SZ3,mp-27239,dev_bulk,1,0.28533201925563306,0.31776768433506447,0.971141743978337,0.24789973882762623,0.32721040600449447
0.05,ZFP,SZ3,mp-3612,dev_bulk,1,0.7155568077351154,0.4005667358176249,0.9424892912183822,0.2624853266123464,0.42500932323570606
0.05,ZFP,SZ3,mp-37207,dev_bulk,1,0.2801438863186715,0.4279362406563759,1.0487243907656683,0.22099817869068092,0.40805405540719986
0.05,ZFP,SZ3,mp-37888,dev_bulk,1,0.3452742079863537,0.28278095878870085,0.9250187551607824,0.17736257488957888,0.3057029462495051
0.05,ZFP,SZ3,mp-540547,dev_bulk,1,0.8060806259519937,0.337827062367763,1.0961527426517823,0.28541413984134273,0.3081934197879222
0.05,ZFP,SZ3,mp-555976,dev_bulk,1,0.43513615933814914,0.41837402126908696,1.0120047763197169,0.28575840768702815,0.4134111133255288
0.05,ZFP,SZ3,mp-557569,dev_bulk,3,0.4711761170473659,0.4227109758951588,1.04308965522938,0.1139851485148515,0.43373963162166856
0.05,ZFP,SZ3,mp-560030,dev_bulk,3,0.21735290023401677,0.34549478269902945,0.9604944721266885,0.35277585010409446,0.36940605994142356
0.05,ZFP,SZ3,mp-560341,dev_bulk,1,1.2389725114040484,0.42536572010478496,0.9563205696412423,0.11054161021179493,0.4447940717874114
0.05,ZFP,SZ3,mp-567278,dev_bulk,1,0.010138644882856991,0.4150951079122578,0.9016800946452352,0.1896510786486364,0.46035740433593175
0.05,ZFP,SZ3,mp-569678,dev_bulk,1,0.9344173205905347,0.3906612636804339,1.1183263098675065,0.3974600698117199,0.3493267217568345
0.05,ZFP,SZ3,mp-6145,dev_bulk,1,0.5087014675507092,0.3414682360141456,1.0184151347608472,0.34104534124254565,0.33529375630727637
0.05,ZFP,SZ3,mp-623043,dev_bulk,1,0.8950614469229323,0.35029936415592494,1.1157045189098753,0.3379560897618912,0.3139714487292684
0.05,ZFP,SZ3,mp-631399,dev_bulk,1,0.6276000286133454,0.38478521978780345,1.0055639802203333,0.38237633512612684,0.3826561286567679
0.05,ZFP,SZ3,mp-675781,dev_bulk,1,0.40879369911486974,0.3861072584564214,0.9249508090665496,0.14404861766453464,0.4174354513469497
0.05,ZFP,SZ3,mp-676693,dev_bulk,1,1.7557542316315575,0.3475680168548921,1.1010865521592879,0.4735458612975392,0.31565912431978504
0.05,ZFP,SZ3,mp-684706,dev_bulk,1,0.757256317528773,0.4739386837296341,1.1080093891586393,0.2997268280287148,0.42773886969452196
0.05,ZFP,SZ3,mp-733522,dev_bulk,2,0.3401227391470056,0.37843652224947355,1.0858383491502246,0.3503484636789265,0.34852012967274304
0.05,ZFP,SZ3,mp-744554,dev_bulk,1,1.5241143338466066,0.40200120494512576,0.914504459503389,0.20634449424672197,0.43958364638640235
0.05,ZFP,SZ3,mp-752866,dev_bulk,2,0.5002687201509639,0.3775243539289955,1.0133656744106387,0.2759191849826781,0.3725450382445203
0.05,ZFP,SZ3,mp-753334,dev_bulk,2,0.7546798720053118,0.37853857798636126,1.0383106427248108,0.2720941258006072,0.36457160546189965
0.05,ZFP,SZ3,mp-753521,dev_bulk,1,0.5347234742667922,0.4014369955339553,1.1025811887598314,0.4182744663859445,0.3640883770069452
0.05,ZFP,SZ3,mp-754196,dev_bulk,2,0.9862237431728955,0.3489849198703349,0.9292219256728621,0.18366882916318453,0.37556681587945767
0.05,ZFP,SZ3,mp-756647,dev_bulk,1,0.6248779271357184,0.2727934633860319,1.0392134158683795,0.19075418763924415,0.26249994391968307
0.05,ZFP,SZ3,mp-757220,dev_bulk,1,0.3060429430128297,0.3354384570849418,1.104453702406539,0.3735838872052339,0.3037143669798392
0.05,ZFP,SZ3,mp-758622,dev_bulk,1,0.3423028127901172,0.32598568756932417,1.0882995361376333,0.48255704761010426,0.2995367329901149
0.05,ZFP,SZ3,mp-759554,dev_bulk,1,0.4766191939779334,0.38874084668924197,0.9537869904494607,0.32412827765284136,0.40757616803522606
0.05,ZFP,SZ3,mp-760266,dev_bulk,1,1.0337435634698533,0.41808015979248214,1.0036471428639628,0.2236068629325177,0.41656090266890733
0.05,ZFP,SZ3,mp-7660,dev_bulk,2,0.33070128114399355,0.34639518846345635,1.005797073684159,0.210688133194263,0.3443986839160675
0.05,ZFP,SZ3,mp-766093,dev_bulk,1,3.492468904722974,0.4168161239129157,0.9694721908834091,0.19296899118444072,0.42994128953106087
0.05,ZFP,SZ3,mp-768842,dev_bulk,1,0.7001144827138626,0.42301850786906503,1.0534668709683845,0.26745103710437157,0.4015489423793757
0.05,ZFP,SZ3,mp-768987,dev_bulk,2,0.2580507644576574,0.4047880913217796,1.0333561520604382,0.3246840524437442,0.3917217607062784
