threshold_e,stratum,n,eligible,non_evaluable,frac_non_evaluable_a1,frac_non_evaluable_a_archived,floor_a1_median,floor_a1_p90,floor_a1_max
0.0001,overall,319,64,255,0.7994,0.232,0.0006525,0.009378,2.913
0.0001,dev_bulk,186,42,144,0.7742,0.1667,0.0006729,0.008302,2.913
0.0001,dev_slab,68,4,64,0.9412,0.3824,0.0008014,0.009929,0.02275
0.0001,ext_bulk,37,10,27,0.7297,0.2703,0.0004953,0.03708,2.146
0.0001,ext_vacuum,28,8,20,0.7143,0.25,0.0001845,0.001462,0.003979
0.001,overall,319,187,132,0.4138,0.0721,0.0006525,0.009378,2.913
0.001,dev_bulk,186,103,83,0.4462,0.043,0.0006729,0.008302,2.913
0.001,dev_slab,68,40,28,0.4118,0.1471,0.0008014,0.009929,0.02275
0.001,ext_bulk,37,22,15,0.4054,0.1351,0.0004953,0.03708,2.146
0.001,ext_vacuum,28,22,6,0.2143,0.0,0.0001845,0.001462,0.003979
0.01,overall,319,288,31,0.0972,0.0219,0.0006525,0.009378,2.913
0.01,dev_bulk,186,168,18,0.0968,0.0054,0.0006729,0.008302,2.913
0.01,dev_slab,68,61,7,0.1029,0.0294,0.0008014,0.009929,0.02275
0.01,ext_bulk,37,31,6,0.1622,0.1081,0.0004953,0.03708,2.146
0.01,ext_vacuum,28,28,0,0.0,0.0,0.0001845,0.001462,0.003979
