threshold_e,domain,codec,n_rows,n_certified,n_not_certified,certification_fraction_among_rows,median_best_certified_ratio,q25_best_certified_ratio,q75_best_certified_ratio
0.0001,bulk,SPERR,42,38,4,0.9047619047619048,4.228142191859552,4.132528435528364,5.78095131291958
0.0001,bulk,SZ3,42,36,6,0.8571428571428571,6.328752559383995,5.5970480748939195,7.413083074922782
0.0001,bulk,ZFP,42,42,0,1.0,7.6252823426310385,6.448214997910688,8.578306101471886
0.0001,slab,SPERR,4,1,3,0.25,3.878422417640687,3.878422417640687,3.878422417640687
0.0001,slab,SZ3,4,2,2,0.5,8.422915163246524,8.385700413811595,8.460129912681452
0.0001,slab,ZFP,4,4,0,1.0,10.54656681334518,10.177826037201347,10.80585471052155
0.001,bulk,SPERR,103,102,1,0.9902912621359223,6.173813693153701,5.423727503876714,11.875944720608304
0.001,bulk,SZ3,103,102,1,0.9902912621359223,12.911501498108237,10.12299087134491,16.678001869817923
0.001,bulk,ZFP,103,102,1,0.9902912621359223,13.531291314600908,10.7931014985185,16.04946982111075
0.001,slab,SPERR,40,35,5,0.875,5.096185360655501,4.422439998006625,5.505001024499743
0.001,slab,SZ3,40,34,6,0.85,14.1467943206105,10.203263194729335,16.10828354351166
0.001,slab,ZFP,40,40,0,1.0,15.261278344177242,11.496118304734757,18.838846124539558
0.01,bulk,SPERR,168,161,7,0.9583333333333334,11.510742267135877,8.84115280343976,58.95940933503388
0.01,bulk,SZ3,168,160,8,0.9523809523809523,51.77969414519157,38.77215288113308,78.4979794005036
0.01,bulk,ZFP,168,166,2,0.9880952380952381,30.01965330038169,23.79286282937533,39.0342357585886
0.01,slab,SPERR,61,47,14,0.7704918032786885,8.097571180519235,7.323573939738257,10.415024051831534
0.01,slab,SZ3,61,47,14,0.7704918032786885,67.75170239138666,45.125310475583106,79.16614572824238
0.01,slab,ZFP,61,59,2,0.9672131147540983,40.451044529674256,30.154569463336937,48.96547968179624
