model,term,beta_log10,effect,ci_lo,ci_hi,p
M0_Linf_codec_material,SZ3/ZFP,0.36833079705071736,2.3352361071925194,2.151910891434493,2.534179132622174,6.663359099593772e-92
M0_Linf_codec_material,SPERR/ZFP,0.3172222051423358,2.075975410805432,1.9098258240909711,2.2565795539601514,5.10502826456335e-66
M_electron,SZ3/ZFP,0.4113130501860709,2.578178902380496,2.234537937117457,2.9746670854263964,1.661549278018629e-38
M_electron,SPERR/ZFP,0.3139262084052755,2.060279818446374,1.8956698567793944,2.23918364008222,6.437819527160456e-65
M_electron,logElectronDev,-0.029980727647833938,,-0.0566648607232121,-0.0032965945724557806,0.027655342987993693
M_reassign,SZ3/ZFP,-0.018555116123019143,0.9581751070055018,0.8328284659910192,1.1023873140461378,0.5503198765657945
M_reassign,SPERR/ZFP,-0.027081297282251754,0.9395474165472723,0.8220764880545421,1.0738043974833713,0.3601607003760271
M_reassign,logReassign,0.8798956664935723,,0.7225803248048605,1.0372110081822843,5.777212315422008e-28
M_both,SZ3/ZFP,0.00683756910268473,1.0158686757883384,0.8728645000700409,1.1823016818362329,0.8388288134890218
M_both,SPERR/ZFP,-0.02857372811979079,0.9363242510621277,0.8180878375483321,1.071649110142478,0.3394366270891489
M_both,logElectronDev,-0.01738360747861929,,-0.04041961104680544,0.005652396089566868,0.13912150438912985
M_both,logReassign,0.8788257109677854,,0.721824394931502,1.0358270270040688,5.254944699735838e-28
