Wrote 14 headline registry rows to /home/runner/work/QoI/QoI/paper_data_v03
 threshold_e domain codec  n_rows  n_certified  n_not_certified  certification_fraction_among_rows  median_best_certified_ratio  q25_best_certified_ratio  q75_best_certified_ratio
      0.0001   bulk SPERR      42           38                4                           0.904762                     4.228142                  4.132528                  5.780951
      0.0001   bulk   SZ3      42           36                6                           0.857143                     6.328753                  5.597048                  7.413083
      0.0001   bulk   ZFP      42           42                0                           1.000000                     7.625282                  6.448215                  8.578306
      0.0001   slab SPERR       4            1                3                           0.250000                     3.878422                  3.878422                  3.878422
      0.0001   slab   SZ3       4            2                2                           0.500000                     8.422915                  8.385700                  8.460130
      0.0001   slab   ZFP       4            4                0                           1.000000                    10.546567                 10.177826                 10.805855
      0.0010   bulk SPERR     103          102                1                           0.990291                     6.173814                  5.423728                 11.875945
      0.0010   bulk   SZ3     103          102                1                           0.990291                    12.911501                 10.122991                 16.678002
      0.0010   bulk   ZFP     103          102                1                           0.990291                    13.531291                 10.793101                 16.049470
      0.0010   slab SPERR      40           35                5                           0.875000                     5.096185                  4.422440                  5.505001
      0.0010   slab   SZ3      40           34                6                           0.850000                    14.146794                 10.203263                 16.108284
      0.0010   slab   ZFP      40           40                0                           1.000000                    15.261278                 11.496118                 18.838846
      0.0100   bulk SPERR     168          161                7                           0.958333                    11.510742                  8.841153                 58.959409
      0.0100   bulk   SZ3     168          160                8                           0.952381                    51.779694                 38.772153                 78.497979
      0.0100   bulk   ZFP     168          166                2                           0.988095                    30.019653                 23.792863                 39.034236
      0.0100   slab SPERR      61           47               14                           0.770492                     8.097571                  7.323574                 10.415024
      0.0100   slab   SZ3      61           47               14                           0.770492                    67.751702                 45.125310                 79.166146
      0.0100   slab   ZFP      61           59                2                           0.967213                    40.451045                 30.154569                 48.965480
