material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-Al1C1Ta2_ICSD_606258,ext_bulk,bulk,0.0006160208,5,0.0002728176,0.0002687092,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 6.160e-04 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al1C1Ta2_ICSD_606258,ext_bulk,bulk,0.0006160208,5,0.0002728176,0.0002687092,0.001,ELIGIBLE,,ELIGIBLE
aflow-Al1C1Ta2_ICSD_606258,ext_bulk,bulk,0.0006160208,5,0.0002728176,0.0002687092,0.01,ELIGIBLE,,ELIGIBLE
aflow-Al1Li1O6Si2_ICSD_159530,ext_bulk,bulk,0.0011994,5,0.0009235249,1.591102e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.199e-03 >= threshold 0.0001,ELIGIBLE
aflow-Al1Li1O6Si2_ICSD_159530,ext_bulk,bulk,0.0011994,5,0.0009235249,1.591102e-09,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 1.199e-03 >= threshold 0.001,ELIGIBLE
aflow-Al1Li1O6Si2_ICSD_159530,ext_bulk,bulk,0.0011994,5,0.0009235249,1.591102e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Al1N1Ti2_ICSD_184882,ext_bulk,bulk,0.0007051931,5,0.0002332329,4.88278e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 7.052e-04 >= threshold 0.0001,ELIGIBLE
aflow-Al1N1Ti2_ICSD_184882,ext_bulk,bulk,0.0007051931,5,0.0002332329,4.88278e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Al1N1Ti2_ICSD_184882,ext_bulk,bulk,0.0007051931,5,0.0002332329,4.88278e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Al1Pd2_ICSD_58115,ext_bulk,bulk,0.0002393683,5,1.054289e-07,5.081706e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.394e-04 >= threshold 0.0001,ELIGIBLE
aflow-Al1Pd2_ICSD_58115,ext_bulk,bulk,0.0002393683,5,1.054289e-07,5.081706e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-Al1Pd2_ICSD_58115,ext_bulk,bulk,0.0002393683,5,1.054289e-07,5.081706e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-Al2Ba2Ga1.33_ICSD_415931,ext_bulk,bulk,0.0887264,5,0.05881559,0.0006669563,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 8.873e-02 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al2Ba2Ga1.33_ICSD_415931,ext_bulk,bulk,0.0887264,5,0.05881559,0.0006669563,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 8.873e-02 >= threshold 0.001,ELIGIBLE
aflow-Al2Ba2Ga1.33_ICSD_415931,ext_bulk,bulk,0.0887264,5,0.05881559,0.0006669563,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 8.873e-02 >= threshold 0.01,ELIGIBLE
aflow-Al7Cu16H9Zr6_ICSD_76304,ext_bulk,bulk,0.04742847,5,0.03277545,0.02708178,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 4.743e-02 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al7Cu16H9Zr6_ICSD_76304,ext_bulk,bulk,0.04742847,5,0.03277545,0.02708178,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 4.743e-02 >= threshold 0.001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al7Cu16H9Zr6_ICSD_76304,ext_bulk,bulk,0.04742847,5,0.03277545,0.02708178,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 4.743e-02 >= threshold 0.01,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al8Cu4U1_ICSD_601801,ext_bulk,bulk,2.145944,5,0.05831328,0.01520942,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.146e+00 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al8Cu4U1_ICSD_601801,ext_bulk,bulk,2.145944,5,0.05831328,0.01520942,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.146e+00 >= threshold 0.001,NON_EVALUABLE_BADER_UNSTABLE
aflow-Al8Cu4U1_ICSD_601801,ext_bulk,bulk,2.145944,5,0.05831328,0.01520942,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.146e+00 >= threshold 0.01,NON_EVALUABLE_BADER_UNSTABLE
aflow-As4Ge2Sr3_ICSD_16454,ext_bulk,bulk,0.0002342852,5,0.0001000846,6.138759e-09,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.343e-04 >= threshold 0.0001,ELIGIBLE
aflow-As4Ge2Sr3_ICSD_16454,ext_bulk,bulk,0.0002342852,5,0.0001000846,6.138759e-09,0.001,ELIGIBLE,,ELIGIBLE
