material_id,domain,formula,stability_floor_e,threshold_e,status,reason
mp-1007755,bulk,HfAu,5.933671e-10,0.0001,ELIGIBLE,
mp-1009084,bulk,BeSnAs2,1.135122e-09,0.0001,ELIGIBLE,
mp-1025517,bulk,Ti2InN,2.406184e-09,0.0001,ELIGIBLE,
mp-1036731,bulk,HfMg30VO32,9.324901e-09,0.0001,ELIGIBLE,
mp-1038991,bulk,CaMg2,6.385388e-09,0.0001,ELIGIBLE,
mp-1039028,bulk,CaMg5,3.089232e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 3.089e-04 >= threshold 0.0001
mp-1041800,bulk,Zn(WO2)2,6.372613e-09,0.0001,ELIGIBLE,
mp-1044003,bulk,MgCuBiO5,2.604445e-09,0.0001,ELIGIBLE,
mp-1044463,bulk,BaCa(CoO2)4,1.436243e-05,0.0001,ELIGIBLE,
mp-1046632,bulk,Sr2CoSO3,6.515264e-09,0.0001,ELIGIBLE,
mp-1065204,bulk,CrAgS2,1.576456e-09,0.0001,ELIGIBLE,
mp-1069461,bulk,HoSi3Ir,5.311334e-10,0.0001,ELIGIBLE,
mp-10761,bulk,FeTe,6.157679e-09,0.0001,ELIGIBLE,
mp-1077125,bulk,BC5,6.586829e-10,0.0001,ELIGIBLE,
mp-1077596,bulk,EuInPt4,2.194743e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.195e-03 >= threshold 0.0001
mp-1078524,bulk,ErZnNi,7.544315e-09,0.0001,ELIGIBLE,
mp-1079749,bulk,Tm(BC)2,3.807877e-09,0.0001,ELIGIBLE,
mp-1094905,bulk,MgTi3,4.301580e-09,0.0001,ELIGIBLE,
mp-1096987,bulk,FeCo9,1.299401e-08,0.0001,ELIGIBLE,
mp-1097014,bulk,KSnBr3,1.857547e-09,0.0001,ELIGIBLE,
mp-1100976,bulk,V3AgO8,4.973405e-09,0.0001,ELIGIBLE,
mp-1103974,bulk,La(Mo3S4)2,2.781079e-09,0.0001,ELIGIBLE,
mp-1104614,bulk,CaFeSeO,3.949122e-09,0.0001,ELIGIBLE,
mp-1105871,bulk,Lu5Pb3,3.896181e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 3.896e-04 >= threshold 0.0001
mp-1111338,bulk,NaLi2VF6,2.349849e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.350e-04 >= threshold 0.0001
mp-1112138,bulk,Cs2NaTlBr6,1.281856e-03,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 1.282e-03 >= threshold 0.0001
mp-1114492,bulk,Rb3AuCl6,2.264736e-09,0.0001,ELIGIBLE,
mp-11306,bulk,LuCd3,2.335585e-04,0.0001,NON_EVALUABLE_BADER_UNSTABLE,stability floor 2.336e-04 >= threshold 0.0001
mp-11419,bulk,ThGa2,8.935190e-09,0.0001,ELIGIBLE,
mp-1173587,bulk,NaMn2FeAg(PO4)3,6.385545e-06,0.0001,ELIGIBLE,
mp-1174037,bulk,Li5Co3O8,4.771009e-09,0.0001,ELIGIBLE,
mp-1175088,bulk,Li7Mn2(CoO4)3,5.812236e-09,0.0001,ELIGIBLE,
mp-1175263,bulk,Li7Mn4CoO12,1.101079e-08,0.0001,ELIGIBLE,
mp-1177023,bulk,Li6V5O12,6.038583e-09,0.0001,ELIGIBLE,
mp-1178256,bulk,Fe5O7F3,4.758446e-09,0.0001,ELIGIBLE,
mp-1178447,bulk,Fe2OF3,9.681639e-09,0.0001,ELIGIBLE,
