threshold_e,stratum,n,eligible,non_evaluable,frac_non_evaluable_a1,frac_non_evaluable_a_archived,floor_a1_median,floor_a1_p90,floor_a1_max
0.0001,overall,319,64,255,0.7994,0.2320,6.525e-04,9.378e-03,2.913e+00
0.0001,dev_bulk,186,42,144,0.7742,0.1667,6.729e-04,8.302e-03,2.913e+00
0.0001,dev_slab,68,4,64,0.9412,0.3824,8.014e-04,9.929e-03,2.275e-02
0.0001,ext_bulk,37,10,27,0.7297,0.2703,4.953e-04,3.708e-02,2.146e+00
0.0001,ext_vacuum,28,8,20,0.7143,0.2500,1.845e-04,1.462e-03,3.979e-03
0.001,overall,319,187,132,0.4138,0.0721,6.525e-04,9.378e-03,2.913e+00
0.001,dev_bulk,186,103,83,0.4462,0.0430,6.729e-04,8.302e-03,2.913e+00
0.001,dev_slab,68,40,28,0.4118,0.1471,8.014e-04,9.929e-03,2.275e-02
0.001,ext_bulk,37,22,15,0.4054,0.1351,4.953e-04,3.708e-02,2.146e+00
0.001,ext_vacuum,28,22,6,0.2143,0.0000,1.845e-04,1.462e-03,3.979e-03
0.01,overall,319,288,31,0.0972,0.0219,6.525e-04,9.378e-03,2.913e+00
0.01,dev_bulk,186,168,18,0.0968,0.0054,6.729e-04,8.302e-03,2.913e+00
0.01,dev_slab,68,61,7,0.1029,0.0294,8.014e-04,9.929e-03,2.275e-02
0.01,ext_bulk,37,31,6,0.1622,0.1081,4.953e-04,3.708e-02,2.146e+00
0.01,ext_vacuum,28,28,0,0.0000,0.0000,1.845e-04,1.462e-03,3.979e-03
