material_id,domain,stratum_role,seed,amplitude_factor,probe_linf,floor_e,n_voxels_reassigned,n_exact_neighbour_ties_created,n_axis_order_flips
aflow-B0.667N0.667_ICSD_162872,bulk,low,float32,1.0,7.627343762806049e-06,1.263060767087154e-10,0,100,100
aflow-B0.667N0.667_ICSD_162872,bulk,low,20260905,0.1,7.62734376280605e-07,3.9839953558384877e-10,0,0,265
aflow-B0.667N0.667_ICSD_162872,bulk,low,20260905,1.0,7.627343762806049e-06,3.987388197401742e-09,0,0,1949
aflow-B0.667N0.667_ICSD_162872,bulk,low,1,1.0,7.627343762806049e-06,8.16104046563737e-07,1,0,1966
aflow-B0.667N0.667_ICSD_162872,bulk,low,2,1.0,7.627343762806049e-06,4.979362699941703e-09,0,0,1961
aflow-B0.667N0.667_ICSD_162872,bulk,low,3,1.0,7.627343762806049e-06,8.148507051330967e-07,1,0,1934
aflow-B0.667N0.667_ICSD_162872,bulk,low,4,1.0,7.627343762806049e-06,8.133266833354469e-07,1,0,1851
aflow-B0.667N0.667_ICSD_162872,bulk,low,20260905,10.0,7.627343762806049e-05,2.459722721503965e-06,11,0,5361
aflow-Pa1_ICSD_648329,bulk,low,float32,1.0,1.9055273412504903e-06,6.998501334010143e-09,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,20260905,0.1,1.9055273412504905e-07,8.500773418518293e-10,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,20260905,1.0,1.9055273412504903e-06,8.499325687694181e-09,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,1,1.0,1.9055273412504903e-06,1.2005862970454473e-09,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,2,1.0,1.9055273412504903e-06,8.721663391497714e-10,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,3,1.0,1.9055273412504903e-06,2.0581936155394942e-10,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,4,1.0,1.9055273412504903e-06,2.1052297682899734e-09,0,0,0
aflow-Pa1_ICSD_648329,bulk,low,20260905,10.0,1.9055273412504903e-05,8.49923544876674e-08,0,0,0
mp-675781,bulk,mid,float32,1.0,0.0009764999995240942,1.3279684907274714e-08,0,3,3
mp-675781,bulk,mid,20260905,0.1,9.764999995240942e-05,8.316791138440749e-06,5,0,20
mp-675781,bulk,mid,20260905,1.0,0.0009764999995240942,0.0003252272979015203,77,0,253
mp-675781,bulk,mid,1,1.0,0.0009764999995240942,0.00016303066975265068,64,0,246
mp-675781,bulk,mid,2,1.0,0.0009764999995240942,0.0002190694282884209,75,0,236
mp-675781,bulk,mid,3,1.0,0.0009764999995240942,0.0004462658011732401,90,0,226
mp-675781,bulk,mid,4,1.0,0.0009764999995240942,0.00046066532377508906,87,0,239
mp-675781,bulk,mid,20260905,10.0,0.009764999995240942,0.0009424027720950079,834,0,2648
mp-849339,bulk,mid,float32,1.0,0.00012206874998810235,4.585731537520843e-05,1,0,0
mp-849339,bulk,mid,20260905,0.1,1.2206874998810235e-05,0.00011532479776121818,19,0,1
mp-849339,bulk,mid,20260905,1.0,0.00012206874998810235,0.0003532279129778715,93,0,20
mp-849339,bulk,mid,1,1.0,0.00012206874998810235,0.0005399208550613821,101,0,27
mp-849339,bulk,mid,2,1.0,0.00012206874998810235,0.00042943894575309116,86,0,17
mp-849339,bulk,mid,3,1.0,0.00012206874998810235,0.0007145841710913814,99,0,33
mp-849339,bulk,mid,4,1.0,0.00012206874998810235,0.0005518723264152925,79,0,20
mp-849339,bulk,mid,20260905,10.0,0.0012206874998810235,0.001247808300374409,265,0,240
mp-30772,bulk,high,float32,1.0,0.00024373749965889147,5.4512696578967734e-09,0,572,572
mp-30772,bulk,high,20260905,0.1,2.4373749965889147e-05,0.19219895779391827,14338,0,2573
mp-30772,bulk,high,20260905,1.0,0.00024373749965889147,0.1924925225180374,14891,0,3688
mp-30772,bulk,high,1,1.0,0.00024373749965889147,0.19232074522370457,14803,0,3597
mp-30772,bulk,high,2,1.0,0.00024373749965889147,0.20419945462160705,15680,0,3569
mp-30772,bulk,high,3,1.0,0.00024373749965889147,0.0008305716189713763,627,0,3644
mp-30772,bulk,high,4,1.0,0.00024373749965889147,0.19243483042873688,14751,0,3584
mp-30772,bulk,high,20260905,10.0,0.0024373749965889147,0.1940059493376456,21193,0,13587
aflow-Al8Cu4U1_ICSD_601801,bulk,high,float32,1.0,0.00024374999975407263,0.015209416230643313,1070,4,4
aflow-Al8Cu4U1_ICSD_601801,bulk,high,20260905,0.1,2.4374999975407265e-05,2.1438523990368346,78414,0,5
aflow-Al8Cu4U1_ICSD_601801,bulk,high,20260905,1.0,0.00024374999975407263,2.1459435677132737,76245,0,81
aflow-Al8Cu4U1_ICSD_601801,bulk,high,1,1.0,0.00024374999975407263,2.1446179864379955,40919,0,83
aflow-Al8Cu4U1_ICSD_601801,bulk,high,2,1.0,0.00024374999975407263,2.1452689466987254,73956,0,83
aflow-Al8Cu4U1_ICSD_601801,bulk,high,3,1.0,0.00024374999975407263,2.143854898841652,76965,0,90
aflow-Al8Cu4U1_ICSD_601801,bulk,high,4,1.0,0.00024374999975407263,0.058313278731397133,8992,0,80
aflow-Al8Cu4U1_ICSD_601801,bulk,high,20260905,10.0,0.0024374999975407263,2.147892466028231,77936,0,878
nomad-FPTBoTAPMQA8,slab,low,float32,1.0,0.00048818749928614125,1.00016279702686e-08,0,5,5
nomad-FPTBoTAPMQA8,slab,low,20260905,0.1,4.881874992861413e-05,3.049729833914938e-05,10,0,692977
nomad-FPTBoTAPMQA8,slab,low,20260905,1.0,0.00048818749928614125,3.053131451835611e-05,63,0,877682
nomad-FPTBoTAPMQA8,slab,low,1,1.0,0.00048818749928614125,3.132941407990586e-05,58,0,878414
nomad-FPTBoTAPMQA8,slab,low,2,1.0,0.00048818749928614125,4.996107986521281e-05,70,0,877811
nomad-FPTBoTAPMQA8,slab,low,3,1.0,0.00048818749928614125,4.013118798606996e-05,58,0,878541
nomad-FPTBoTAPMQA8,slab,low,4,1.0,0.00048818749928614125,4.8007780319991866e-05,34,0,877360
nomad-FPTBoTAPMQA8,slab,low,20260905,10.0,0.0048818749928614125,0.0003325929448347864,562,0,1037310
nomad--kEaPn7WzevZ,slab,low,float32,1.0,0.00024408124954788946,0.00016580785844588775,5,213,213
nomad--kEaPn7WzevZ,slab,low,20260905,0.1,2.440812495478895e-05,2.731390049959259e-05,5,0,1140689
nomad--kEaPn7WzevZ,slab,low,20260905,1.0,0.00024408124954788946,3.9951809279514805e-05,48,0,1648402
nomad--kEaPn7WzevZ,slab,low,1,1.0,0.00024408124954788946,0.00027823377439872843,80,0,1649936
nomad--kEaPn7WzevZ,slab,low,2,1.0,0.00024408124954788946,0.0001658099241463873,37,0,1649436
nomad--kEaPn7WzevZ,slab,low,3,1.0,0.00024408124954788946,0.0002800351880356544,78,0,1648582
nomad--kEaPn7WzevZ,slab,low,4,1.0,0.00024408124954788946,6.493078627833881e-05,44,0,1648044
nomad--kEaPn7WzevZ,slab,low,20260905,10.0,0.0024408124954788946,0.0003077693007114135,528,0,2191645
nomad-8Hl4JATTj5Fp,slab,mid,float32,1.0,0.0002441374999762047,4.144677033046662e-05,1,301,301
nomad-8Hl4JATTj5Fp,slab,mid,20260905,0.1,2.441374999762047e-05,4.145006517752847e-05,1,0,1030115
nomad-8Hl4JATTj5Fp,slab,mid,20260905,1.0,0.0002441374999762047,0.0006021127918547364,76,0,1406081
nomad-8Hl4JATTj5Fp,slab,mid,1,1.0,0.0002441374999762047,0.0005011824940819309,184,0,1407533
nomad-8Hl4JATTj5Fp,slab,mid,2,1.0,0.0002441374999762047,0.0006627906340828105,196,0,1407734
nomad-8Hl4JATTj5Fp,slab,mid,3,1.0,0.0002441374999762047,0.00035112245448232215,146,0,1406725
nomad-8Hl4JATTj5Fp,slab,mid,4,1.0,0.0002441374999762047,0.0001550666230176745,30,0,1407597
nomad-8Hl4JATTj5Fp,slab,mid,20260905,10.0,0.002441374999762047,0.001809568151657004,1019,0,1935414
nomad-9xtsrVZD5SSK,slab,mid,float32,1.0,0.0002441374999762047,2.290547038619195e-05,2,1724,1724
nomad-9xtsrVZD5SSK,slab,mid,20260905,0.1,2.441374999762047e-05,0.0003802879097847267,481,0,419625
nomad-9xtsrVZD5SSK,slab,mid,20260905,1.0,0.0002441374999762047,0.0006039770535233302,826,0,554713
nomad-9xtsrVZD5SSK,slab,mid,1,1.0,0.0002441374999762047,0.0005865428109776971,792,0,553391
nomad-9xtsrVZD5SSK,slab,mid,2,1.0,0.0002441374999762047,0.0006018754496182055,840,0,553679
nomad-9xtsrVZD5SSK,slab,mid,3,1.0,0.0002441374999762047,0.0006000645512562741,821,0,553200
nomad-9xtsrVZD5SSK,slab,mid,4,1.0,0.0002441374999762047,0.0006524949972090965,829,0,554125
nomad-9xtsrVZD5SSK,slab,mid,20260905,10.0,0.002441374999762047,0.0008497233335837961,1113,0,637399
nomad-4CA6DwNaypkT,slab,high,float32,1.0,0.00012206874998810235,0.010268124611348739,4003,10791,10791
nomad-4CA6DwNaypkT,slab,high,20260905,0.1,1.2206874998810235e-05,0.009948578365488459,4333,0,1311666
nomad-4CA6DwNaypkT,slab,high,20260905,1.0,0.00012206874998810235,0.019317360932276983,8151,0,1781273
nomad-4CA6DwNaypkT,slab,high,1,1.0,0.00012206874998810235,0.01837555687165171,8587,0,1781936
nomad-4CA6DwNaypkT,slab,high,2,1.0,0.00012206874998810235,0.018868402784427474,7970,0,1781516
nomad-4CA6DwNaypkT,slab,high,3,1.0,0.00012206874998810235,0.0171957808182146,8261,0,1780859
nomad-4CA6DwNaypkT,slab,high,4,1.0,0.00012206874998810235,0.017633923858191736,8420,0,1780985
nomad-4CA6DwNaypkT,slab,high,20260905,10.0,0.0012206874998810235,0.02077474878257668,13308,0,2180224
nomad-8tU1rEspJ26T,slab,high,float32,1.0,0.0004882499997620471,0.00670838972161647,3340,21906,21906
nomad-8tU1rEspJ26T,slab,high,20260905,0.1,4.882499997620471e-05,0.013143940658252973,14897,0,1706381
nomad-8tU1rEspJ26T,slab,high,20260905,1.0,0.0004882499997620471,0.021690454947618676,24934,0,2363043
nomad-8tU1rEspJ26T,slab,high,1,1.0,0.0004882499997620471,0.018387600808770443,22979,0,2363901
nomad-8tU1rEspJ26T,slab,high,2,1.0,0.0004882499997620471,0.022748339555736408,24215,0,2362779
nomad-8tU1rEspJ26T,slab,high,3,1.0,0.0004882499997620471,0.021781015388240732,24262,0,2361837
nomad-8tU1rEspJ26T,slab,high,4,1.0,0.0004882499997620471,0.019477735931541673,24007,0,2363610
nomad-8tU1rEspJ26T,slab,high,20260905,10.0,0.004882499997620471,0.06953959159044487,46454,0,3095027
nomad2d-54HlfCLZu2_8,vacuum2d,low,float32,1.0,1.5246796863266354e-05,4.803117903406928e-09,0,0,0
nomad2d-54HlfCLZu2_8,vacuum2d,low,20260905,0.1,1.5246796863266356e-06,1.5118802281222088e-06,4,0,23
nomad2d-54HlfCLZu2_8,vacuum2d,low,20260905,1.0,1.5246796863266354e-05,1.7104270551016043e-06,42,0,255
nomad2d-54HlfCLZu2_8,vacuum2d,low,1,1.0,1.5246796863266354e-05,8.80387437618424e-07,38,0,261
nomad2d-54HlfCLZu2_8,vacuum2d,low,2,1.0,1.5246796863266354e-05,2.1746818337220475e-06,35,0,264
nomad2d-54HlfCLZu2_8,vacuum2d,low,3,1.0,1.5246796863266354e-05,1.4872997571302449e-06,43,0,231
nomad2d-54HlfCLZu2_8,vacuum2d,low,4,1.0,1.5246796863266354e-05,2.7382907088480124e-06,37,0,249
nomad2d-54HlfCLZu2_8,vacuum2d,low,20260905,10.0,0.00015246796863266354,9.594838616067136e-06,192,0,3942
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,float32,1.0,0.00024231874976976542,1.4497885558739654e-08,0,0,0
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,20260905,0.1,2.4231874976976542e-05,1.757065524188306e-06,8,0,274266
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,20260905,1.0,0.00024231874976976542,4.063796888331694e-06,24,0,694064
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,1,1.0,0.00024231874976976542,5.291018329245389e-06,39,0,693337
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,2,1.0,0.00024231874976976542,2.8056871741455325e-06,23,0,693512
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,3,1.0,0.00024231874976976542,2.904208130871666e-06,17,0,693090
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,4,1.0,0.00024231874976976542,6.32893997476458e-06,29,0,693390
nomad2d-2KcZ7wrCEYsv,vacuum2d,low,20260905,10.0,0.002423187497697654,1.2798508661759911e-05,366,0,989151
nomad2d-3Api7db6z5lU,vacuum2d,mid,float32,1.0,0.0001210468749377469,2.252576791761385e-09,0,64,64
nomad2d-3Api7db6z5lU,vacuum2d,mid,20260905,0.1,1.2104687493774691e-05,0.0001254013468070525,3,0,317407
nomad2d-3Api7db6z5lU,vacuum2d,mid,20260905,1.0,0.0001210468749377469,0.00013736836611499825,22,0,607737
nomad2d-3Api7db6z5lU,vacuum2d,mid,1,1.0,0.0001210468749377469,0.001010372064602194,44,0,607263
nomad2d-3Api7db6z5lU,vacuum2d,mid,2,1.0,0.0001210468749377469,0.0008728310062622313,43,0,607602
nomad2d-3Api7db6z5lU,vacuum2d,mid,3,1.0,0.0001210468749377469,0.0018872842403476753,74,0,607884
nomad2d-3Api7db6z5lU,vacuum2d,mid,4,1.0,0.0001210468749377469,8.854519512802028e-05,16,0,607784
nomad2d-3Api7db6z5lU,vacuum2d,mid,20260905,10.0,0.001210468749377469,0.00028009564428543854,74,0,955902
nomad2d-48ChW422P29g,vacuum2d,mid,float32,1.0,6.101718759055075e-05,2.161694823143989e-09,0,4,4
nomad2d-48ChW422P29g,vacuum2d,mid,20260905,0.1,6.101718759055075e-06,0.0001505289940624266,48,0,2407
