material_id,domain,stability_floor_A1_e,npoints,natoms,corpus
aflow-Al1C1Ta2_ICSD_606258,bulk,0.0006160207688195,207360,8,ext_bulk
aflow-Al1Li1O6Si2_ICSD_159530,bulk,0.0011993998698747,274400,20,ext_bulk
aflow-Al1N1Ti2_ICSD_184882,bulk,0.0007051931192267,153600,8,ext_bulk
aflow-Al1Pd2_ICSD_58115,bulk,0.0002393682726236,172800,12,ext_bulk
aflow-Al2Ba2Ga1.33_ICSD_415931,bulk,0.08872640142798,933120,16,ext_bulk
aflow-Al7Cu16H9Zr6_ICSD_76304,bulk,0.0474284716361914,1259712,38,ext_bulk
aflow-Al8Cu4U1_ICSD_601801,bulk,2.1459435677132737,592704,13,ext_bulk
aflow-As4Ge2Sr3_ICSD_16454,bulk,0.0002342851571945,1814400,36,ext_bulk
aflow-Au2Ge2Nd1_ICSD_164730,bulk,0.0021209928587975,373248,5,ext_bulk
aflow-B0.667N0.667_ICSD_162872,bulk,8.16104046563737e-07,526848,4,ext_bulk
aflow-B1C1F6K1_ICSD_1194,bulk,1.7686334161659545e-05,1512000,36,ext_bulk
aflow-B1Ni2_ICSD_75792,bulk,0.030188463505727,175616,6,ext_bulk
aflow-B6Co21Mn2_ICSD_613157,bulk,0.0218580770090071,1259712,29,ext_bulk
aflow-B6H2O13Sr3_ICSD_262541,bulk,6.73862754556609e-05,4704000,48,ext_bulk
aflow-Ba1C1Si1_ICSD_168412,bulk,5.7485570250648266e-05,864360,24,ext_bulk
aflow-C1_ICSD_290661,bulk,0.0004952665193194,75264,4,ext_bulk
aflow-Ca1O4U1_ICSD_246962,bulk,0.0003760203896474,343000,6,ext_bulk
aflow-Ca3O12Sc2Si3_ICSD_156537,bulk,0.0014822863753787,1728000,80,ext_bulk
aflow-Ce1O4Sr2_ICSD_86768,bulk,0.0006855912470369,336000,14,ext_bulk
aflow-Cl1H2Nd1O2_ICSD_20047,bulk,7.371477586293196e-05,235200,12,ext_bulk
aflow-Cl1O12Pb5V3_ICSD_203074,bulk,0.0035547402881945,1152000,42,ext_bulk
aflow-Co2Nd1_ICSD_154732,bulk,0.0002015483483219,157464,6,ext_bulk
aflow-Cr1Sb1_ICSD_626687,bulk,0.0012362271518444,102400,4,ext_bulk
aflow-Cs1In3_ICSD_102867,bulk,0.0029193532008431,884736,12,ext_bulk
aflow-Cu1Hf1Hg2_ICSD_102969,bulk,0.000293719923718,175616,4,ext_bulk
aflow-Cu1Sb1Se2_ICSD_30358,bulk,9.223263388413729e-05,691200,16,ext_bulk
aflow-Er2O3_ICSD_419435,bulk,0.0015992694171762,614400,15,ext_bulk
aflow-F2Mn1_ICSD_63569,bulk,0.0030942996040028,104976,6,ext_bulk
aflow-H3Ni1Zr1_ICSD_658750,bulk,0.0061509244098267,204800,10,ext_bulk
aflow-H4Si1_ICSD_159307,bulk,8.27975670003589e-05,163840,20,ext_bulk
aflow-Mo3Na1O16P3_ICSD_66877,bulk,0.0001029741882465,6272000,46,ext_bulk
aflow-Na10Sn12Yb1_ICSD_172210,bulk,0.0692420429013118,2744000,23,ext_bulk
aflow-Ni1_ICSD_181716,bulk,8.692086517214649e-08,21952,1,ext_bulk
aflow-O2Si1_ICSD_170531,bulk,0.0001113793312157,1146880,24,ext_bulk
aflow-O7V2Zr1_ICSD_84883,bulk,8.186347799643556e-06,884736,40,ext_bulk
aflow-Pa1_ICSD_648329,bulk,8.499325687694181e-09,32768,1,ext_bulk
aflow-Pt5Se4_ICSD_87926,bulk,0.0004614262087851,272160,18,ext_bulk
mp-1007755,bulk,0.0017092764859629,301056,4,dev_bulk
mp-1009084,bulk,0.0001314017050297,1259712,8,dev_bulk
mp-1025517,bulk,0.0006035059103002,497664,8,dev_bulk
