material_id,domain,seed,npoints,natoms,probe_linf,probe_rel_error,floor_f32_resolved_e,floor_noise_resolved_e,floor_noise_fixed_e,n_voxels_reassigned_f32,n_voxels_reassigned_noise,n_axis_order_flips_f32,n_axis_order_flips_noise,corpus
mp-1007755,bulk,20260905,301056,4,1.524179685929994e-05,4.1874023830853115e-08,5.933671332059021e-10,0.0017039443728066,9.49494882718227e-09,0,264,0,9,dev_bulk
mp-1007755,bulk,1,301056,4,1.524179685929994e-05,4.1874023830853115e-08,5.933671332059021e-10,0.001269765641549,1.5944614517593436e-08,0,293,0,12,dev_bulk
mp-1007755,bulk,2,301056,4,1.524179685929994e-05,4.1874023830853115e-08,5.933671332059021e-10,0.0017092764859629,9.704136161303722e-09,0,474,0,12,dev_bulk
mp-1007755,bulk,3,301056,4,1.524179685929994e-05,4.1874023830853115e-08,5.933671332059021e-10,0.0016463353730813,1.1957251189187446e-08,0,366,0,4,dev_bulk
mp-1007755,bulk,4,301056,4,1.524179685929994e-05,4.1874023830853115e-08,5.933671332059021e-10,0.0015207839380817,5.646441536555358e-09,0,220,0,6,dev_bulk
mp-1009084,bulk,20260905,1259712,8,0.0001215281249642,5.233401596797665e-08,1.1351222184430299e-09,4.0203518844705854e-05,3.8318190398456415e-08,0,47,0,118,dev_bulk
mp-1009084,bulk,1,1259712,8,0.0001215281249642,5.233401596797665e-08,1.1351222184430299e-09,4.0963623396450544e-05,3.5872796289027065e-08,0,43,0,122,dev_bulk
mp-1009084,bulk,2,1259712,8,0.0001215281249642,5.233401596797665e-08,1.1351222184430299e-09,0.0001285167350602,4.918791685071256e-08,0,61,0,110,dev_bulk
mp-1009084,bulk,3,1259712,8,0.0001215281249642,5.233401596797665e-08,1.1351222184430299e-09,0.0001210052272826,4.665952424431907e-08,0,68,0,122,dev_bulk
mp-1009084,bulk,4,1259712,8,0.0001215281249642,5.233401596797665e-08,1.1351222184430299e-09,0.0001314017050297,6.172521871405935e-08,0,66,0,134,dev_bulk
mp-1025517,bulk,20260905,497664,8,6.101250005485781e-05,4.414006340494513e-08,2.4061836967348427e-09,0.0004307488035539,3.2859221121839255e-08,0,18,66,767,dev_bulk
mp-1025517,bulk,1,497664,8,6.101250005485781e-05,4.414006340494513e-08,2.4061836967348427e-09,0.0006035059103002,4.175150891683188e-08,0,22,66,762,dev_bulk
mp-1025517,bulk,2,497664,8,6.101250005485781e-05,4.414006340494513e-08,2.4061836967348427e-09,8.479973530661766e-05,5.129372659951059e-08,0,4,66,773,dev_bulk
mp-1025517,bulk,3,497664,8,6.101250005485781e-05,4.414006340494513e-08,2.4061836967348427e-09,0.0005620522094247,7.522690204098127e-08,0,32,66,767,dev_bulk
mp-1025517,bulk,4,497664,8,6.101250005485781e-05,4.414006340494513e-08,2.4061836967348427e-09,0.0005619231557165,2.4013091959318444e-08,0,25,66,774,dev_bulk
mp-1036731,bulk,20260905,2097152,64,0.0004870624998147,4.093034203825237e-08,9.324900851481745e-09,0.0065413529167681,9.16634697034624e-08,0,1209,0,60,dev_bulk
mp-1036731,bulk,1,2097152,64,0.0004870624998147,4.093034203825237e-08,9.324900851481745e-09,0.0068590219518904,6.209507219523402e-08,0,1217,0,40,dev_bulk
mp-1036731,bulk,2,2097152,64,0.0004870624998147,4.093034203825237e-08,9.324900851481745e-09,0.0070292244523137,9.491115360305002e-08,0,1261,0,62,dev_bulk
mp-1036731,bulk,3,2097152,64,0.0004870624998147,4.093034203825237e-08,9.324900851481745e-09,0.0067971374928967,7.556991565849104e-08,0,1277,0,55,dev_bulk
mp-1036731,bulk,4,2097152,64,0.0004870624998147,4.093034203825237e-08,9.324900851481745e-09,0.0070293738411777,6.109764782991078e-08,0,1288,0,48,dev_bulk
mp-1038991,bulk,20260905,790272,6,0.0001220218750859,3.78819863964654e-08,6.385388218177468e-09,0.0014238497995382,4.776414286311592e-08,0,210,104,3158,dev_bulk
