material_id,domain,formula,npoints,natoms,value_ptp,electrons_per_cell,float32_field_rel_error,floor_resolved_e,floor_fixed_e,n_voxels_reassigned,frac_voxels_reassigned,bader_seconds,sha256,corpus
mp-1007755,bulk,HfAu,301056,4,363.9916937734,41.99999987072079,4.1874023830853115e-08,5.933671332059021e-10,5.933671332059021e-10,0,0.0,3.29,eb051ccc7107eefc0ad7994d4b5dae77d769b099e33346d93d7ab3575edff6db,dev_bulk
mp-1009084,bulk,BeSnAs2,1259712,8,2322.163180418,56.00000029417671,5.233401596797665e-08,1.1351222184430299e-09,1.1351222184430299e-09,0,0.0,1.05,833d46b76192bc38a8c37b2dc34151fbbe1960278a4ca405b2d33d2b785a8580,dev_bulk
mp-1025517,bulk,Ti2InN,497664,8,1382.247675884,76.00000019483036,4.414006340494513e-08,2.4061836967348427e-09,2.4061836967348427e-09,0,0.0,0.36,2d5524cc5ff048f472f0aae5504df551b07f4f2f5322a27f680dfb80f04e4f28,dev_bulk
mp-1036731,bulk,HfMg30VO32,2097152,64,11899.790609118,453.0000307530309,4.093034203825237e-08,9.324900851481745e-09,9.324900851481745e-09,0,0.0,2.94,9c0c4f03ea8cd143bdbfe41cf4413ddaa69ab5e2bd45a20205be266025dfc29a,dev_bulk
mp-1038991,bulk,CaMg2,790272,6,3221.1055093274,52.00000003647838,3.78819863964654e-08,6.385388218177468e-09,6.385388218177468e-09,0,0.0,0.52,8947df8fc8f3fb0a54ee32ed0d6ed812cfc84f25f65f5bf48672347c96d8d43a,dev_bulk
mp-1039028,bulk,CaMg5,790272,6,2901.4812325489,50.00000023528827,4.2067952584855936e-08,0.0003089231925912,2.936841880796237e-09,20,2.530774214447684e-05,0.61,f78d3cb60ff62d262d2baf3c17667803fd5d1396989c4671ad6cae9535a01859,dev_bulk
mp-1041800,bulk,Zn(WO2)2,1228800,28,6873.9908123,240.00000068380191,3.5352462089491995e-08,6.372612659788501e-09,6.372612659788501e-09,0,0.0,0.58,348fcea165870dd948301c2d6331fc5731d2d0e4c15b469a847254f70eb5b5f8,dev_bulk
mp-1044003,bulk,MgCuBiO5,1638400,32,17807.742728603,240.000012663041,5.4021445217092523e-08,2.604444659937144e-09,2.604444659937144e-09,0,0.0,0.89,b48c8adf46e8c6399415f51676b2517ce6c6a2369be0c2172ae5342329cefac5,dev_bulk
mp-1044463,bulk,BaCa(CoO2)4,768000,14,1874.5964329863,104.00000075852378,3.255700741574062e-08,1.4362426531633332e-05,2.5523583246922503e-09,1,1.3020833333333333e-06,1.11,897f2440eeee34d6704f109df923a6eaba5cafaab283f3b3d02beae3e34e38bf,dev_bulk
mp-1046632,bulk,Sr2CoSO3,777600,14,2241.678886486,105.99999573679008,4.4220483820159854e-08,6.515263883954958e-09,6.515263883954958e-09,0,0.0,0.63,d7ccc8b2219c3f52dbae2751b0fccccd1c2b913141654e9e066455a404787007,dev_bulk
mp-1065204,bulk,CrAgS2,1404928,4,935.599697905,35.00000006889847,3.260676016921235e-08,1.5764562988351827e-09,1.5764562988351827e-09,0,0.0,1.25,edde2b3f64ee8eeb161aad50ae63ee18a6a7614e7577b05c3ebcd599ca1745f3,dev_bulk
mp-1069461,bulk,HoSi3Ir,884736,5,262.32860339,30.00000002849163,2.9076574498858237e-08,5.31133359515934e-10,5.31133359515934e-10,0,0.0,0.64,c1ae05028456fdb244cfcb5f463cfcd40b05b635203afb234b0cf41a23044f2c,dev_bulk
mp-10761,bulk,FeTe,327680,4,1576.942614007,40.000000529945815,3.8702264386892254e-08,6.157678811291589e-09,6.157678811291589e-09,0,0.0,0.35,2e5c9e0b0d6fa9b678f4739dc8171739b0e1615ae513e62c3a195d95f1840333,dev_bulk
mp-1077125,bulk,BC5,884736,6,66.2790695038,23.000000001650875,5.755322520958625e-08,6.586828860122296e-10,6.586828860122296e-10,6,6.781684027777777e-06,1.29,9c1035e17787fbe17326ebcc541895e08dee3b6cd04c29f7e3b9b70a82c94632,dev_bulk
