material,domain,role,codec,relative_tolerance,comparison_solver,baderkit_error_e,comparison_error_e,comparison_over_baderkit,above_2e-6_print_region,baseline_max_abs_charge_diff_e,baseline_compatible_1e-3
mp-631399,bulk,low,ZFP,0.0001,henkelman_ongrid,0.0001977131000003851,0.0001980000000001425,1.0014510925161602,True,4.1100000025551253e-07,True
mp-631399,bulk,low,ZFP,0.0001,henkelman_neargrid,0.0001977131000003851,0.0010099999999990672,5.10841213858414,True,0.025200132400000186,False
mp-631399,bulk,low,ZFP,0.001,henkelman_ongrid,0.0032725473999999366,0.0032730000000000814,1.0001383020457228,True,4.1100000025551253e-07,True
mp-631399,bulk,low,ZFP,0.001,henkelman_neargrid,0.0032725473999999366,0.0011379999999991952,0.3477413344721049,True,0.025200132400000186,False
mp-631399,bulk,low,SZ3,0.0001,henkelman_ongrid,0.0027671117000007683,0.002767000000000408,0.9999596329991448,True,4.1100000025551253e-07,True
mp-631399,bulk,low,SZ3,0.0001,henkelman_neargrid,0.0027671117000007683,0.0024439999999987805,0.8832314214124792,True,0.025200132400000186,False
mp-631399,bulk,low,SZ3,0.001,henkelman_ongrid,0.033092185000000995,0.033955000000000624,1.0260730743527393,True,4.1100000025551253e-07,True
mp-631399,bulk,low,SZ3,0.001,henkelman_neargrid,0.033092185000000995,0.020672999999999497,0.6247094291295324,True,0.025200132400000186,False
mp-631399,bulk,low,SPERR,0.0001,henkelman_ongrid,0.002606498599999618,0.002607000000000248,1.000192365344309,True,4.1100000025551253e-07,True
mp-631399,bulk,low,SPERR,0.0001,henkelman_neargrid,0.002606498599999618,0.0004930000000005208,0.18914262988692687,True,0.025200132400000186,False
mp-631399,bulk,low,SPERR,0.001,henkelman_ongrid,0.010945450299999493,0.010946000000000566,1.000050221780375,True,4.1100000025551253e-07,True
mp-631399,bulk,low,SPERR,0.001,henkelman_neargrid,0.010945450299999493,0.009551000000000087,0.8726000062327751,True,0.025200132400000186,False
mp-214,bulk,low,ZFP,0.0001,henkelman_ongrid,0.0011264405000002142,0.0011269999999985458,1.0004966973385025,True,1.0909999836883344e-07,True
mp-214,bulk,low,ZFP,0.0001,henkelman_neargrid,0.0011264405000002142,9.999999999621423e-06,0.008877521715190035,True,0.0046989051999997145,False
