cohort,threshold_e,stratum,n,sz3_win_fraction,tie_fraction,zfp_win_fraction,sz3_win_ci_lo,sz3_win_ci_hi,median_log2_ratio_sz3_over_zfp,n_both_certified,n_row_failure_affected
development,0.0001,overall,46,0.10869565217391304,0.0,0.8913043478260869,0.021739130434782608,0.1956521739130435,-0.19891421066775652,0,0
development,0.0001,bulk,42,0.11904761904761904,0.0,0.8809523809523809,0.023809523809523808,0.23809523809523808,-0.18712549199065034,0,0
development,0.0001,slab,4,0.0,0.0,1.0,0.0,0.0,-0.39167624898374737,0,0
development,0.001,overall,143,0.32867132867132864,0.0,0.6713286713286714,0.2517482517482518,0.40559440559440557,-0.10586582722499155,0,0
development,0.001,bulk,103,0.4077669902912621,0.0,0.5922330097087378,0.3106796116504854,0.5048543689320388,-0.09491827247158661,0,0
development,0.001,slab,40,0.125,0.0,0.875,0.025,0.225,-0.2896398853880179,0,0
development,0.01,overall,229,0.8034934497816594,0.013100436681222707,0.18340611353711792,0.7510917030567685,0.8558951965065502,0.745841807194189,0,0
development,0.01,bulk,168,0.8690476190476191,0.005952380952380952,0.12499999999999997,0.8154761904761905,0.9166666666666666,0.869147397994955,0,0
development,0.01,slab,61,0.6229508196721312,0.03278688524590164,0.3442622950819672,0.5081967213114754,0.7377049180327869,0.5707537246044313,0,0
external_confirmatory63,0.0001,overall,16,0.3125,0.0,0.6875,0.125,0.5625,-0.14785953406584862,14,0
external_confirmatory63,0.0001,bulk,9,0.2222222222222222,0.0,0.7777777777777778,0.0,0.5555555555555556,-0.12229201458916983,7,0
external_confirmatory63,0.0001,vacuum2d,7,0.42857142857142855,0.0,0.5714285714285714,0.14285714285714285,0.8571428571428571,-0.17342705354252738,7,0
external_confirmatory63,0.001,overall,42,0.35714285714285715,0.0,0.6428571428571429,0.21428571428571427,0.5,-0.1163274254715636,42,0
external_confirmatory63,0.001,bulk,21,0.3333333333333333,0.0,0.6666666666666666,0.14285714285714285,0.5238095238095238,-0.17343622293101668,21,0
external_confirmatory63,0.001,vacuum2d,21,0.38095238095238093,0.0,0.6190476190476191,0.19047619047619047,0.5714285714285714,-0.08065089173454636,21,0
external_confirmatory63,0.01,overall,57,0.8947368421052632,0.0,0.10526315789473684,0.8070175438596491,0.9649122807017544,0.6459057810843195,57,2
external_confirmatory63,0.01,bulk,30,0.8333333333333334,0.0,0.16666666666666666,0.7,0.9666666666666667,0.2985928750847416,30,1
external_confirmatory63,0.01,vacuum2d,27,0.9629629629629629,0.0,0.037037037037037035,0.8888888888888888,1.0,1.316016282043763,27,1
