analysis,k,threshold_e,stratum,codec,n,n_certified,frac_certified,ratio_median,ratio_p10,ratio_p90
S1_no_exclusion,,0.0001,overall,sperr,254,61,0.24015748031496062,4.192169092301435,3.812959267383071,13.127531921439926
S1_no_exclusion,,0.0001,overall,sz3,254,49,0.19291338582677164,6.945854743316773,5.100249782257813,9.85853785549851
S1_no_exclusion,,0.0001,overall,zfp,254,119,0.468503937007874,7.551714091482956,5.740120064162525,10.860316426588541
S1_no_exclusion,,0.0001,bulk,sperr,186,54,0.2903225806451613,4.228142191859552,3.784657198672801,13.936914424384835
S1_no_exclusion,,0.0001,bulk,sz3,186,44,0.23655913978494625,6.394486603189531,4.947574103684981,8.337504043803968
S1_no_exclusion,,0.0001,bulk,zfp,186,88,0.4731182795698925,6.73252205100859,5.545409962780229,9.401362164811891
S1_no_exclusion,,0.0001,slab,sperr,68,7,0.10294117647058823,3.878422417640687,3.84568775484011,4.351589842482507
S1_no_exclusion,,0.0001,slab,sz3,68,5,0.07352941176470588,8.497344662116383,8.181939349827495,10.95848079104491
S1_no_exclusion,,0.0001,slab,zfp,68,31,0.45588235294117646,9.63330562510266,8.05624586335652,12.096340209568394
S3_inflated_threshold,2,0.0001,overall,sperr,254,214,0.84251968503937,6.079958334458041,4.074034949403128,46.13938144216719
S3_inflated_threshold,2,0.0001,overall,sz3,254,209,0.8228346456692913,13.040441525687427,6.14088746868504,75.20191258033564
S3_inflated_threshold,2,0.0001,overall,zfp,254,244,0.9606299212598425,13.863987277321787,7.286420764900469,36.61769493127144
S3_inflated_threshold,2,0.0001,bulk,sperr,186,164,0.8817204301075269,6.711677538708426,4.117263388494794,70.75628470191201
S3_inflated_threshold,2,0.0001,bulk,sz3,186,160,0.8602150537634409,12.781097030233266,5.857185457750657,73.18573625140603
S3_inflated_threshold,2,0.0001,bulk,zfp,186,178,0.956989247311828,11.438403256962197,6.885097526655021,35.75281418630271
S3_inflated_threshold,2,0.0001,slab,sperr,68,50,0.7352941176470589,4.8484966983328075,3.9863520444658778,8.891820091595601
S3_inflated_threshold,2,0.0001,slab,sz3,68,49,0.7205882352941176,14.198809119621568,8.481690622810325,220.53129006850466
S3_inflated_threshold,2,0.0001,slab,zfp,68,66,0.9705882352941176,17.590089721911024,10.650566469905833,45.074678167335605
S3_inflated_threshold,5,0.0001,overall,sperr,254,241,0.9488188976377953,7.472669740187695,4.46611105626111,72.66759144338177
S3_inflated_threshold,5,0.0001,overall,sz3,254,236,0.9291338582677166,23.775248173942607,7.405106305132585,154.13477991189666
